,report,institute,category
4,"Saya nuryanto, warga kp.cilalung rt.001/05 desa jombang kec. ciputat kota tangerang selatan.

pembangunan tol ini khususnya buat saya sekeluarga sangat merugikan, berisik selama pembangunan hampir siang malam, getaran yang sampai tembok saya retak tapi tidak ada penggantian, rumah saya yang sebelumnya tidak pernah banjir jadi kebanjiran, panas, debu dan tidak ada pengamanan memadai. belum lagi bila sudah beroperasi berisik 24 jam dan dengan jarak sangat dekat berpotensi membahayakan. dari sekian banyak dampak negatif tidak ada dampak positif langsung untuk kami. akses jalan kami saja jadi sulit.

Yang paling menghawatirkan adalah jaraknya sangat dekat dengan rumah saya, padahal posisi tol diatas hampir setinggi atap rumah dan yang sangat membuat kami heran, mereka memaksakan pembangunan drainasenya belok ke arah badan jalannya dengan membuat gorong-gorong dibanding mereka membuat drainase terbuka yang mana tentunya bisa menjadi jarak aman buat rumah kami. padahal kalau ditarik garis lurus darinasenya persis mengenai rumah kami. bisa dibayangkan kekhawatiran kami kalau ada kecelakaan mobil melayang ke arah rumah kami. belum lagi kerugian kami selama pembangunan seperti keretakan tembok dan atap bolong terkena pentalan batu yang sampai saat ini tidak mendapatkan penggantian.

kiranya kami lebih baik direlokasi saja ke lokasi lain, karena kami merasa tidak aman dengan jarak tol yang sangat dekat ini. kepemilikan tanah kami juga sah dengan sertifikat hak milik seharusnya tidak menjadi masalah untuk merelokasi kami.",Direktorat Jenderal Bina Marga,  Lainnya terkait Pekerjaan Umum dan Penataan Ruang
5,"Selamat siang Bapak/Ibu.

Perkenalkan saya Vinnka, tinggal di Perumahan Permata Nusa Indah, Cibitung, Kab. Kota Bekasi, Jawa Barat. Mohon perhatian dari Bapak/Ibu sekalian karena jalanan di daerah Cibitung ini banyak sekali yang rusak dan mudah banjir kalau hujan deras. Tolong supaya segera diperbaiki supaya warga disini bisa menggunakan jalan dengan baik dan nyaman. Saya tunggu jawaban dari Bapak/Ibu atas laporan pengaduan saya ini.

Terimakasih,

Vinnka.","Dinas Sumber Daya Air, Bina Marga dan Bina Konstruksi",  Infrastruktur Jalan
6,"Selamat pagi, sudah bertahun tahun rumah rumah ilegal berdiri di jalan elang perumnas mandala. perumahan dibangun mendekati rel kereta api menyebabkan aliran air parit tidak jalan dengan lancar. hanya butuh 1 jam hujan perumahan disekitar jadi banjir. untuk itu sebagai warna sekitar saya minta tolong rumah rumah tersebut dapat di tertibkan sehingga mengurangi banjir yang bisa menjadi wabah penyakit. terima kasih",Satuan Polisi Pamong Praja Kabupaten Deli Serdang,  Lainnya terkait Pekerjaan Umum dan Penataan Ruang
7,"Yth pemerintah kabupaten ogan komering ulu
yth dinas pupr ogan komering ulu

assalamualaikum warahmatullahi wabarakatuh

bersama ini kembali saya sebagai perwakilan dari warga yang terdampak banjir di kawasan raja pancing, baturaja permai bermaksud ingin mengingatkan kepada bapak, bahwasanya saat ini kami masih menikmati kelebihan air dari drainase yang melintas disekitar pemukiman kami. hari ini, sabtu tanggal 6 maret 2021 hujan deras dari pukul 16:00 sampai saat ini pukul 21:00 masih belum berhenti, air sudah mulai masuk dari sekitar pukul 19:00, sekarang di rumah sudah sebatas lutut, dijalan sudah sebatas dada.
urugan tanah yang membatasi antara kavlingan kami dan drainase di sebagian titik sudah meluap, karena belum dibuat secara baik/dicor. kami yakin jika drainase bisa dibuat secara baik, walaupun tidak sepenuhnya mengatasi banjir setidaknya dapat mengurangi ketinggian air sehingga banjir cukup dijalan saja tidak sampai masuk kerumah. atau mungkin dilakukan pendalaman/pelebaran/upaya lain karena setahu kami itu satu aliran menampung banyak 
dari dinas pupera sendiri pada 2019 lalu sudah menanggapi laporan kami terkait masalah ini dan sudah melakukan survey bersama ketua rt. tanggapan dari team survey akan diusulkan ke anggaran 2020, namun kami juga memaklumi 2020 bukanlah tahun yang baik karena efek global pandemi covid-19.
harapan kami pemerintah tidak melupakan warganya disini yang sangat berharap dapat tidur nyenyak dikala hujan deras.
wassalamualaikum warahmatullahi wabarakatuh",Pu.Pera Kabupaten Ogan Komering Ulu,  Drainase (Gorong-Gorong/Parit)
8,"Izin melaporkan selokan jalan daerah gerbang komplek fadjar raya, kel. cibabat, cimahi utara. sudah penuh oleh sampah dan tanah. sering terjadi banjir.",DISKOMINFO KOTA CIMAHI,  Drainase (Gorong-Gorong/Parit)
9,"Laporhendi selamat siang bapak, mohon maaf menggangu waktu nya.pak bantu untuk di normalisasi aliran parit yg di depan kelurahan kalibanteng kulon semarang bawah lokalisasi sunan kuning pak, parit nya semakin dangkal, hujan sedikit saja sekarang kawasan depan kelurahan kalibanteng kulon langsung banjir bapak,",Dinas Pekerjaan Umum Kota Semarang,  Bendungan
0,"Banjar pak minta tolong parit / selokan di pinggir jalan ahmad yanikm 39,5 (depan kimia farma martapura) di bersihkan karena parit tsb tidak berfungsi lagi mengakibatkan air meluber ke halaman toko yang membuat jadi banjir saat hujan.

Terimakasih atas tanggapannya��",Dinas Pekerjaan Umum dan Penataan Ruang,  Topik Lainnya
1,"Nila_candrariniselamat malem bapak, saluran air di mulawarman selatan, itu pembangunanya belum diselesaikan, dari jalan masuk sudah dibuat, tp brenti di depan gerbang perumahan, permata tembalang, sehingga klo hujan, banjir di depan.perumahan, mohon bisa dibantu diteruskan pembangunan selokannya pak...terima kasih",Dinas Pekerjaan Umum Kota Semarang,  Infrastruktur Jalan
2,"Gowinda_azharpak @hendrarprihadi yth mohon normalisasi saluran di jalan dewi sartika timur (pas bangjo dewisartika) yg njenengan tinjau tadi, kalau hujan agak deras sedikit bisa d pastikan membanjiri jalan karena air dr kradenan asri semua mengalir ke situ. akibatnya bangjo dewi sartika / per4an masjid selalu banjir. suwun",Dinas Pekerjaan Umum Kota Semarang,  Infrastruktur Pendukung
3,Rio5940pak tolong cek aliran air di kampung saya pak di daerah randugarut rt1rw1 soalnya saluran air sekarang ditutup tanah untuk kepentingan perusahaan dan semua jajaran rt rw warga dikasih uang tp yg kena imbasnya warga pak saluran air jadi terhalang pas kemarin banjir kampung kami mengalami kebanjiran parah pak tolong di cek pak di daerah kami,Dinas Perumahan dan Kawasan Permukiman Kota Semarang,  Infrastruktur Pendukung
4,Agungsetiawan2315daerah jembatan pengkol rowosari pak tolong di beri talut pak sering banjirsama di keruk pak suwun,Dinas Pekerjaan Umum Kota Semarang,  Infrastruktur Pendukung
5,"Kami warga rt.004/009 rawa bambu, kelurahan pasarminggu, kecamatan pasarminggu, jakarta selatan, ingin melaporkan terjadi banjir di sekitar jl. gabus raya, jl. mujair iia, jl. mujair dalam khususnya rw. 009 pada hari sabtu dini hari, 20 februari 2021, akibat meluapnya sungai di samping perumahan aditama residence dan gabus raya, untuk banjir di jl. gabus raya, ketinggian mencapai 30 cm, dan di jl. mujair dalam ketinggian mencapai seleher orang dewasa. untuk itu kami warga rt.004/009 dan seluruh warga rw.009 merasa keberatan bila ada pembangunan jembatan akses masuk rencana pembangunan perumahan aditama residence pasarminggu, karena dapat menyebabkan banjir susulan bila tanggul antara jl. gabus raya dengan lokasi perumahan aditama residence dibongkar & dibangun jembatan, untuk perumahan aditama residence sendiri sudah ada jembatan eksisting untuk akses masuk perumahan melalui jl. b 2. mohon untuk dinas terkait segera menindaklanjuti laporan ini agar tidak terjadi hal-hal yang tidak memungkinkan yang dapat merugikan warga khususnya rt.004/009",Pemprov DKI 2,  Jembatan
6,Warga desa jombok kec.kesamben kab.jombang membutuhkan kontainer sampah pada setiap dusun karena kesulitan membuang sampah. dengan adanya pengambilan sampah secara berkala oleh dinas terkait bertujuan agar tidak sampai terjadi langganan banjir setiap tahun lagi karena masalah penyaring sungai mampet penuh sampah,Dinas Lingkungan Hidup Kab. Jombang,  Lainnya terkait Pekerjaan Umum dan Penataan Ruang
7,"Saya nuryanto, warga kp.cilalung rt.001/05 desa jombang kec. ciputat kota tangerang selatan.

terkait laporan saya sebelumnya yang hanya dilihat saja tapi tidak ada tindakan penangan, tolong dapat diselesaikan karena pembangunan tol serpong cinere di lokasi kampung saya sangat semrawut, akses jalan banyak yang dimatikan tanpa akses pengganti memadai malah beberapa tidak ada akses pengganti. pagar berlin semrawut dan tidak memperhatikan akses warga.

pembangunan tol ini khususnya buat saya sekeluarga sangat merugikan, berisik selama pembangunan hampir siang malam, getaran yang sampai tembok saya retak tapi tidak ada penggantian, rumah saya yang sebelumnya tidak pernah banjir jadi kebanjiran, panas, debu dan tidak ada pengamanan memadai. belum lagi bila sudah beroperasi berisik 24 jam dan dengan jarak sangat dekat berpotensi membahayakan. dari sekian banyak dampak negatif tidak ada dampak positif langsung untuk kami. akses jalan kami saja jadi sulit.",Direktorat Jenderal Bina Marga,  Lainnya terkait Pekerjaan Umum dan Penataan Ruang
8,"Parkir yang membikin  akses warga terganggu, parkir depan pasar suryokusumo yang menggunakan badan jalan kiri dan kanan, saya mohon untuk dikosongi, supaya tidak mengganggu warga sekitar keluar masuk melalui jalan depan pasar, supaya semarang menjadi kota yang tertib, nyaman , indah dan bebas banjir",Kantor Satuan Polisi Pamong Praja Kota Semarang,"  Lainnya terkait Ketenteraman, Ketertiban Umum, dan Pelindungan Masyarakat"
9,"Jalan rusak berlubang parah di wilayah desa jombok, kec.kesamben, kab.jombang. belum ada perbaikan jalan, warga juga memasang tanda ban bekas pada lubang yg parah. bila perlu sekalian ada peninggian jalan pada dusun beluk, karena daerah langganan banjir agar akses tidak terputus seperti contoh desa sebelah (desa tempuran-mojokerto) yg sudah sukses pembangunan jalan dan tanggap bencana",Dinas Pekerjaan Umum dan Penataan Ruang Kab. Jombang,"  Lainnya terkait Pembangunan Desa, Daerah Tertinggal, dan Transmigrasi"
0,"Saluran air di desa kami kp. lontar rt. 02/01 kec, kemiri mampet karna tertutup bangunan, menyebabkan sampah yang terbawa air menumpuk dan endapan lumpur, sehingga air tidak mengalir dan menjadi banjir setiap turun hujan dan dikhawatirkan juga banyaknya jentik nyamuk yang bisa menyebabkan dbd. beberapa rumah terdampak karena saluran air yang mampet. sudah laporan ke pihak kelurahan sejak 2018, tetapi belum ada tindakan sampai saat ini. mohon untuk aparat terkait bisa segera ditindak lanjuti. karena sangat merugikan masyarakat.",Kecamatan Kemiri Kabupaten Tangerang,  Drainase (Gorong-Gorong/Parit)
1,"Yth bpk ganjar pranowo gub jateng. perihal banjir dan macet sepanjang kaligawe - bangetayu yg perlu dilakukan darurat menurut hemat saya sbb:
1. pengaturan melintas jln kaligawe utk truck besar saat jam pulang kerja.
2. penambalan jln yg berlubang.
3. siagakan polantas utk mengatur titik kemacetan tertentu.
4. byk bus luar kota yg ngetem di dpn nasmoco.
5. perlu dipikirkan akses in out unissula dan rs sultan agung.
6. membuka akses keluar masuk jln kaligawe ke kawasan industri terboyo tanpa hrs putar balik.
7. meninggikan jembatan exit tol kaligawe.
8. pompa pembuangan air ke arah kali sringin kurang memadai bahkan tdk ada sama sekali disaat banjir kemarin. 
9. byk kualitas infrastruktur saluran air yg dibuat kurang baik dan tdk terkoneksi dgn saluran utama dan kebanyakan tersumbat.
demikian suwun",Kementerian Perhubungan,  Infrastruktur Jalan
2,Almasz_fashionlapor pak @hendrarprihadi jalan dong biru genuk yang tembus jalan gebangsari hampir tiap hari terendam banjir. sampe2 jalan berlumut.. saya kira karena tidak ada selokan dikanan kiri jalan. tolong dimonitor thanks my mayor,Dinas Pekerjaan Umum Kota Semarang,  Banjir
3,"Mohon dibuatkan polder air atau perbaikan di saluran air komplek bintara jaya permai, kelurahan bintara jaya kecamatan bekasi barat. hal ini dikarenakan saluran air tersebut menampung air dari pasar sumber arta, komplek koperasi, komplek syafiiyah, komplek bintara jaya permai, dan jalan bintara jaya sehingga setiap hujan selalu banjir ditambah area perumahan yg dilewati lebih rendah dari jalan raya sehingga air saluran air turun ke perumahan untuk mengalir ke saluran. saluran ini juga menampung air dari komplek ddn beserta komplek daerah pondok kopi, jakarta sebelum bermuara di bkt. 
sebagai bahan informasi juga aliran sungai ini hanya lebar 2 meter dan kedalaman 1.5 meter serta menyempit di daerah pondok kopi.
mohon dibantu untuk diperbaiki",Dinas Bina Marga dan Sumber Daya Air Kota Bekasi,  Banjir
4,"Tolong got sepanjang kelurahan muktiharjo lor, kecamatan genuk, kota semarang, arah kaligawe, dikeruk agar saluran air menjadi lancar.
awalnya got tersebut lancar, namun sudah 3 tahun lebih menjadi got mati akibat diuruk untuk dudukan alat berat proyek penanaman pipa gas. 
pihak kelurahan setempat pun cuek, dan tidak ada tindakan sama sekali, tolong ditegur sekalian kepala keluran setempat.",Dinas Pekerjaan Umum Kota Semarang,  Drainase (Gorong-Gorong/Parit)
5,Jepong32pak tolong folder yang ada di genuk deket kelurahan banjardowo segera di resmikan supaya bisa di fungsikan njih kaleh pompa yang ada di pasar banjardowo rusak pak kata petugasnya rusak udah gk bisa perbaiki segera di belikan yang baru njih karena banjir yang ada di banjardowo kalau surut lama suwun @hendrarprihadi,Dinas Pekerjaan Umum Kota Semarang,  Bendungan
6,Setiahadisintapak sendang indah muktiharjo lor jl masih banjir susah mau beraktifitas,Dinas Pekerjaan Umum Kota Semarang,  Banjir
7,Heyrdlnpak tolong jl tanggung rejo dan purwosari dibuatkan jembatan untuk motor biar bisa ke arah cilosari supaya sewaktu banjir tdk bingung mau lewat kemana untuk kerja. atau diperbaiki pak akses jalan tanggung rejo menuju arteri karna disitu jalannya sudah rusak dan selalu banjir padahal dulu bisa buat melintas. semoga dibaca ya pak karna kalo banjir warga tanggung rejo dan purwosari terpencil bgt pak gaada akses jalan buat ke jl raya,Dinas Pekerjaan Umum Kota Semarang,  Infrastruktur Jalan
8,Jepong32tolong perhatianya semarang timur bagian ujung genuk banjardowo banjir surutnya selalu lama saya tau semua wilayah semarang banjir tapi bagian sini selalu lama kalau surut... udah di buatin folder deket kelurahan banjardowo kenapa tidak segera di resmikan dan di fungsikan ?????,Dinas Pekerjaan Umum Kota Semarang,  Banjir
9,"Kepada YTH,
Dinas PU & PENGAIRAN PEMDA Kabupaten BEKASI

Dengan Hormat,

Kami warga masyarakat  CIKARANG yang prihatin atas pemasangan Instalasi Pipa dan Kabel bawah tanah yang seharusnya tertanam di tanah, namun pada kenyataan dan fakta nya di masukan kedalam saluran air / selokan yang Berpotensi menjadi PENYEBAB BANJIR pada wilayah pemukiman kami.

Bersama ini kami memohon untuk kira nya pihak Dinas TERKAIT PEMDA Kabupaten BEKASI untuk segera menindaklanjuti permasalahan ini mengingat saat ini telah memasuki musim hujan yang rawan akan BANJIR.

Lokasi   : Sepanjang jalan Ki Hajar Dewantara yang meliputi kecamatan KARANG BAHAGIA sampai pertigaan warung bongkok.

Pengaduan : pemasangan PIPA & KABEL dalam saluran air

Demikian Pengaduan kami sebagai warga masyarakat, besar harapan kami untuk dapat segera di tindak lanjuti. Beberapa gambar kami sertakan sebagai BUKTI PERMULAAN

Atas perhatiannya kami ucapkan banyak terima kasih

Bekasi, 24 Februari 2021","Dinas Sumber Daya Air, Bina Marga dan Bina Konstruksi",  Drainase (Gorong-Gorong/Parit)
0,"Assalamualaikum, selamat siang.
ijinkan saya untuk menyampaikan aspirasi kepada pemerintah kota semarang.
mengingat kejadian banjir di beberapa wilayah di kota semarang pada tanggal 6 februari & 23 februari 2021 lalu, mendorong saya untuk memberi usulan kepada pemerintah kota semarang agar mencetuskan program pembuatan sumur resapan di tiap-tiap lingkungan rt/rw.
supaya air hujan tidak sekedar mengalir menuju selokan-selokan lalu dibuang ke sungai, maka dari itu dengan adanya sumur resapan ini tentu dapat meminimalisir genangan air, mencegah banjir, serta dapat menambah cadangan air tanah.
demikian, aspirasi ini dibuat berdasarkan kecintaan saya terhadap kota semarang dan bentuk dukungan kepada pemerintah.
atas perhatiannya, saya ucapkan terima kasih.",Dinas Perumahan dan Kawasan Permukiman Kota Semarang,  Lainnya terkait Lingkungan Hidup dan Kehutanan
1,Mohon bantuan karena hujan sebentar kurang dari 1 jam selalu menggenang wilayah rumah saya di ra abusamah villa sukajaya indah setinggi selutut orang tua,Dinas PUPR Kota Palembang,"  Lainnya terkait Ketenteraman, Ketertiban Umum, dan Pelindungan Masyarakat"
2,Laporhendi perumahan muktiharjo indah kecamatan pedurungan belom surut  dari hari selasa,Dinas Pekerjaan Umum Kota Semarang,  Banjir
3,"Pak hendi, banjir jl. kaligawe koq sampai sekarang g surut ya pak.mbok tolong to pak supaya cepat surut. kasian rakyat kecil pak. mohon perhatiannya ya pak. makasih..",Dinas Pekerjaan Umum Bina Marga dan Cipta Karya,  Infrastruktur Jalan
4,"Buffer zone/badan jalan row 30 termasuk saluran induk, ruang terbuka hijau/rth, fasum sarana prasana tempat bermain anak, telah dialokasikan bp batam sejak tahun 2007. melanggar pepres nomor 87 tahun 2011 tentang ""rencana tata ruang wilayah"".

tahun 2007/2008 telah ditolak warga pembangunannya melalui rdp di komisi i dan komisi iii dprd kota batam dan rekomendasi dprd kota batam bahwa lokasi lahan status quo tidak bisa dibangun karena merupakan buffer zone/badan jalan row 30 dan bp batam diminta untuk memberikan lahan pengganti bagi pihak pengembang.

pihak pengembang saat ini bersikeras dan terus melakukan kegiatan pekerjaan pembangun pengecoran pondasi dan saluran induk akan segera ditutup/dicor, pohon-pohon penghijauan telah ditebangi dan lokasi perumahan bumi sarana indah i sejak bulan september s/d desember 2020 mengalami kerugian akibat banjir dan ini akan terus berlanjut bila hujan turun.

diduga semua pihak serta birokrasi telah dikondisikan sehingga bisa terbit ijinnya, apakah kota batam sarangnya mafia tanah.",Dinas Cipta Karya dan Tata Ruang Kota Batam,  Permukiman
5,"Buffer zone/badan jalan row 30 termasuk saluran induk, ruang terbuka hijau/rth, fasum sarana prasana tempat bermain anak, telah dialokasikan bp batam sejak tahun 2007. melanggar pepres nomor 87 tahun 2011 tentang ""rencana tata ruang wilayah"".

tahun 2007/2008 telah ditolak warga pembangunannya melalui rdp di komisi i dan komisi iii dprd kota batam dan rekomendasi dprd kota batam bahwa lokasi lahan status quo tidak bisa dibangun karena merupakan buffer zone/badan jalan row 30 dan bp batam diminta untuk memberikan lahan pengganti bagi pihak pengembang.

pihak pengembang saat ini bersikeras dan terus melakukan kegiatan pekerjaan pembangun pengecoran pondasi dan saluran induk akan segera ditutup/dicor, pohon-pohon penghijauan telah ditebangi dan lokasi perumahan bumi sarana indah i sejak bulan september s/d desember 2020 mengalami kerugian akibat banjir dan ini akan terus berlanjut bila hujan turun.

diduga semua pihak serta birokrasi telah dikondisikan sehingga bisa terbit ijinnya, apakah kota batam sarangnya mafia tanah.",Direktorat Jenderal Pengendalian dan Penertiban Tanah dan Ruang,  Permukiman
6,"Selamat siang.. 
maaf pak saya mau lapor, saya kehilangan surat tanah ketika terjadi banjir di daerah rumah saya yang beralamat di jalan kuningan barat rt 11 rw 01 pada tanggal 20/02/2021 sekiranya saya ingin mengurus kembali apa saja yang saya harus di butuhkan? terimakasih",Kantor Pertanahan Kota Administrasi Jakarta Selatan,  Pertanahan
7,"Jayadilapor kabel pju putus dan ada setrumnya di bawahnya  banjir lokasi jln sawah besar timur kaligawe , sangat berbahaya dan ada 4 titik lampu yang mati terimakasih.",Dinas Perumahan dan Kawasan Permukiman Kota Semarang,  Penerangan Jalan
8,"Lapor pak hendi,,
kami warga dongbiru, depan kantor kecamatan genuk, sudah 3 hari ini banjir masuk rumah, setinggi lutut orang dewasa, air tidak surut malah tambah naik,,
sedangkan di wilayah trimulyo dengan nota bene daerah lebih rendah dari genuksari, malah tidak ada air banjir sama sekali,,
tolong  paknya orang2 yang dekat dengan rt maupun rw nya saja,,
tidak mau masuk kerumah yang kebanjiran,di tengok,,
tidak ada pihak dari manapun yang memberi  bantuan,, ada bantuan pun tidak di prioritaskan ke warga yang rumahnya kebanjiran,, yang dapat ha",Dinas Pekerjaan Umum Kota Semarang,  Banjir
9,"Lapor hendi pak hendi mohon tindak lanjut nya untuk penanganan banjir di daerah kaligawe dan genuk. karena hujan terus dan banjir yang tak kunjung surut,",Dinas Pekerjaan Umum Kota Semarang,  Banjir
0,"Laporhendi banjir di wilayah tlogosari sidomukti dan sekitarnya, mohon pintu-pintu air bisa lebih di perhatikan terimakasih",Dinas Pekerjaan Umum Kota Semarang,  Bendungan
1,"Hallo ojk, sebelumnya terima kasih sudah membaca keluhan ini.. 

berawal ada debt collector datang ke rumah menagih uang sebesar 1.335.000 karena ada keterlambatan pembayaran di perusahaan aku laku. tindakan mereka datang membuat kami sekeluarga kaget hingga orang tua dan adik berumur 2tahun jatuh sakit dan trauma sampai hari ini.. 

penagihan kedua mereka datang dengan menagih uang 1.025.000 dan meminta di bayarkan kepada debt collector sebesar 500.000 tetapi kami menolak, karena akun kami beberapa kali tidak bisa dibuka lalu mereka menawarkan akan membukakan akun kami.. 

penagihan ketiga ini baru beberapa hari lalu pasca banjir jakarta 22-februari 2021. saat kami sibuk merapihkan rumah setelah banjir mereka datang menagih uang lagi,meminta agar dibayar 500.000 melalui mereka tapi kami tidak mau. 

jujur ini sangat meresahkan,kami yang terkena dampak covid dan di berhentikan dari perusahaan sangatt tidak nyaman dengan hal seperti ini.. sampai membuat anak kecil trauma, setiap melihat orang datang kerumah langsung ketakutan dan menangis. kepada pihak ojk mohon ditindak ya, banyaak tetangga juga mengeluh atas kedatangan mereka yang terus menerus dlam jangka waktu yang dekat (hanya selang beberapa hari/minggu) datang di jam 10 pagi saat orang orang sibuk,bahkan pernah pas hujan.. patut diketahui lingkungan kami banyak anak kecil dan is lansia.. 

sekian keluhan yang bisa saya sampaikan,mohon ditindak ya. sukses selalu ojk, tuhan memberkati.",Kontak OJK 157,  lembaga pembiayaan
2,Kpd yth gubernur jateng bpk ganjar pranowo. mohon ijin pak gub urun rembuk. perihal kondisi banjir di smg di bbrp tempat yg sampai hari ini blm surut maka perlu penanganan yg serius dan tuntas. bila perlu utk truk pada saat jam pulang kerja dilarang melintas di jln kaligawe. saya yakin dan percaya pak gubganjar bisa menanganinya smoga sukses.,Kementerian Perhubungan,  Infrastruktur Jalan
3,Lapor: an warga kemijen rw3 air banjir sudah 24 jam  blm surut . dmn,Dinas Pekerjaan Umum Kota Semarang,  Banjir
4,Mohon pak di rw 03/rt 03 kemijen sampai hari ini banjir belum surut pompa di cek warga hanya hidup satu,Dinas Pekerjaan Umum Kota Semarang,  Banjir
5,"Achmad zaky aijin melaporkan untuk daerah timur khususnya sawahbesar, tlogosari, sebagian genuk, kaligawe, bubakan, pattimura, sebagian jalan mt haryono, polsek semarang utara, terowongan arteri soetta masih mengalami banjir dengan ketinggian paling tinggi selutut orang dewasa",Dinas Pekerjaan Umum Kota Semarang,  Banjir
6,"P.hendi kalo dandan2 gorong2,ya pas musim kemarau,begitu musim hujan sudah bisa dinikmati,lha tau musim hujan kok malah gorong2nya dibongkar,ya banjirlah.",Dinas Pekerjaan Umum Kota Semarang,  Banjir
7,Ardani genialtrotoar kondisi g rata.... padahal bermanfaat tuk lewat orang jalan ato pun melipir roda dua..saat badan jalan tergenang air banjir...mohon di tindak lanjuti...tu terowongan suttaterowongan bisa juga dipasang cctv kak...trims,Dinas Pekerjaan Umum Kota Semarang,  Infrastruktur Jalan
8,"Effendi kuchinxrumah ku kebanjiran, air sudah masuk rumah 1/2 dengkuljl. pandean lamper iv",Dinas Pekerjaan Umum Kota Semarang,  Infrastruktur Jalan
9,"Lapor hendi selamat pagi pak hendi, saya lihat berita di kota spt simpang 5 banjir lsng surut dalam wkt 2jam. mohon dipantau juga untuk daerah kaligawe d",Dinas Pekerjaan Umum Kota Semarang,  Banjir
0,Adi semarang water park iiilaporhendi seatpile atau tanggul depan pos polisi atau depan alfamart kelurahan kuningan jebol atau terbuka mohon untuk di tindak lanjuti agar tidak terj,Dinas Pekerjaan Umum Kota Semarang,  Banjir
1,Laporhendi *mohon penanganan untuk tanggul kali di kalimas yang jebol sehingga menyebabkan banjir di tanah mas*,Dinas Pekerjaan Umum Kota Semarang,  Banjir
2,"Pak hendi ..
tolong benahi saluran drainase di semarang utara , biar banjir cepat surut
dan saya bisa berangkat kerja seperti biasanya .
mohon perhatianya pak ..",Dinas Pekerjaan Umum Kota Semarang,  Banjir
3,"Kpd yth bpk ganjar pranowo gub.jateng, kapolda, kadishub dan dinas terkait. hari ini selasa tgl 23 feb' 2021 semarang khususnya jln kaligawe darurat banjir dan macet. begitu beratnya sebagai karyawan swasta di kawasan industri terboyo dan sekitarnya utk bertahan hdp ditengah ekonomi yg sulit. berangkat dan pulang kerja setiap hari hrs berjuang menerjang banjir dan menghadapi kemacetan yg klasik. sebagai warga smg khususnya dan pada umumnya pasti sedih dankecewa atas pelayanan publik yg kurang tanggap. utk itu mohon dgn hormat masalah banjir dan macet segera dibereskan. malu smg diolok2 prov. lain yg banjir yg macet...matur suwun.",Dinas Perhubungan Provinsi Jawa Tengah,  Topik Lainnya
4,"Mohon jangan lakukan modifikasi cuaca hanya untuk mencegah jakarta tidak bajir, modifikasi cuaca di awal tahun 2020 mengakibatkan cuaca tidak wajar dalam bentuk hawa panas yg berlebihan.
silahkan modifikasi cuaca kalau sudah melakukan upaya pengendalian banjir secara menyeluruh.
apabila modifikasi cuaca dilakukan tanpa pengendalian banjir maka pemohon modifikasi cuaca akan manja!
saat ini bertiup angin muson barat yg bertiup dari benua asia ke australia, pintu masuk hujan ke jawa tengah dan timur adalah jawa barat, apabila hujan dicegah masuk dari barat, maka hujan tidak akan turun di jawa tengah dan timur.
mohon hentikan modifikasi cuaca!",Badan Meteorologi Klimatologi dan Geofisika,  Lainnya terkait Lingkungan Hidup dan Kehutanan
5,"Wah payah,semarang banjir.hujan udah berenti bukanya surut malah tambah banjir.,mana pak ganjar mana?pak wali juga mana ni?",Dinas Pekerjaan Umum Kota Semarang,  Banjir
6,"Lapor pak hendi, wilayah sambirejo banjir semua, gara2 sblh majt diurug akhirnya air lari ke rumah2 aduh kasihan sdh 2 x banjir.",Dinas Pekerjaan Umum Kota Semarang,  Banjir
7,Kpd yth gubernur jateng bpk ganjar pranowo dan dinas terkait. lapor pak gub...mohon ada penanganan yg serius di kawasan industri terboyo perihal banjir.hujan satu jam jln menuju kawasan banjir. keluar kawasan ke jln kaligawe banjir dan macet.,Dinas Pekerjaan Umum Sumber Daya Air dan Penataan Ruang Provinsi Jawa Tengah,  Infrastruktur Jalan
8,"Mohon izin melaporkan banjir di drainase depan Dinas PPKB Kota Mataram sekitar jalan dr. Soedjono Lingkar Selatan Kota Mataram. Mohon dinas terkait untuk segera ditindak lanjuti, terima kasih.",Dinas Pekerjaan Umum dan Penataan Ruang Kota Mataram,  Drainase (Gorong-Gorong/Parit)
9,"Disaat para kades camat dan bupati nya cuek, minta perahu karet tidak digubris. minta tambang ga dikasih, giliran sudah surut sudah bisa jalan malah datang. 2 hari banjir jalan utama pantura rata dengan aer dan sawah yang ada penduduknya di bawahnya karena tidak ada akses lagi. 

sekarang jembatan putus dari jalan kampung ke jalan utamanya. Warga hanya butuh dicor lagi jalan supaya logistik bisa masuk motor bisa masuk. padahal itu jalan Nasional rekor 17 jam keputus arus deras sampai lewat harus pakai tambang. coba sekarang sudah surut kami hanya butuh 1 dan 2 truk buat cor jembatan akses jembatan. 

Lokasi kampung cibuntu  kecamatan kedungwaringin sebrang dealer hino sebrang persawahan sebrang pt msi. warga hanya butuh jembatan dari kampung sawah pinggir kali ke jalan nasional dicor dan dibuat jemabatan",Direktorat Jenderal Bina Marga,  Infrastruktur Jalan
