query,report,institute,category
kebakaran,"MENGENAI PENGEMBALIAN IJAZAH HARUS MEMBAYAR 3 JUTA
saya ingin melaporkan dan keluhan PT.Security Phisik Dinamika (SPD). Teman sayakan kerja di PT SPD sebagai Security di Mall Pejaten Village, sudah 8 tahun bekerja.. Tidak melakukan kesalahan mengikuti peraturan kerja 12 jam back up terus... 
 Malah dikeluarkan? Dan dipindahkan seenak ya gaji di Mall 2.7juta di pindahkan ke gaji yg 2juta.ya jelas tolak dong,, untuk masalah Ijazah itu penting banget untuk Individual dan Hak Masing-masing... Ijazah SMA ya ditahan selama dia bekerja 8tahun... Dan untuk pengambilan Ijazah ya harus mengeluarkan Biaya 3juta. Yaampun pemerasan banget? Sedangkan PT outsoursing lain aja untuk ijazah gak ditahan lama hanya 6 bulan atau selama dia bekerja pengambilan gak dipersulit dan gak dikenakan biaya.... Kenapa di PT.Security Phisik Dinamika ini dikenakan biaya besar sekali 3juta ,padahal itu ijazah asli untuk ngelamar kerja ditempat lain ya... Ijazah itu didapatkan dengan susah payah 3 tahun sekolah nguras biaya... Perusahaan seenak ya aja bikin peraturan seperti itu,kalau Kantor ya kebakaran banjir atau gedung ya roboh mau tanggung jawab Ijazah masing-masing pegawai apa dimintai Biaya aja ijazah ilang gimana mau tanggung jawab??? pasti enggakkan? Pasti Lari.... Tolong dong ditindak lanjuti untuk masalah Ijazah yang dikenakan biaya besar 3JUTA.",Kementerian Ketenagakerjaan,  Ketenagakerjaan
kebakaran,"Saya ingin menyampaikan informasi kebakaran lahan hutan, pada lokasi sekitar peta dibawah ini:

https://www.google.com/maps/place/8°08'29.7""S+115°19'06.2""E/@-8.1415834,115.3140125,16z/data=!4m5!3m4!1s0x0:0x0!8m2!3d-8.1415834!4d115.3183899?hl=en

Disebutkan lokasi lain ada disekitar Gaia Oasis.
Saya lampirkan juga video yang diambil rekan di lapangan.",Direktorat Jenderal Pengendalian Perubahan Iklim,  Penanggulangan Bencana
kebakaran,"Pada bulan desember 2016, saya membeli rumah baru di Perumahan Kwadungan Permai blok C48 Kec. Ngasem kab. Kediri dengan developer PT. Yuara Abadi Perkasa. Pada bulan februari 2017 PT. PLN Melakukan pemasangan trafo 20 Kva tanpa sepengetahuan saya yang hanya berjarak 1 meter dari bangunan rumah saya. Saya langsung melakukan komplain kepada pihak developer karena saya tidak dimintai ijin dan trafo tersebut sangat berbahaya dan dapat menimbulkan bahaya kebakaran. Oleh pihak developer saya diminta untuk komplain ke pihak PT. PLN mereka berdalih itu bukan tanggung jawab mereka. Saya melakukan komplain melalui email ke PLN123 dan mendapatkan nomor pengaduan K5417022201164. Tapi sampai sekarang tidak ada tindak lanjut dari PT. PLN. Bahkan sekarang trafo 20 Kva tersebut sudah beroprasi. Saya bahkan sudah komplain juga ke pihak kementrian ESDM sebagai pihak yang menerbitkan SLO ( Standart Laik Operasi ) trafo tersebut, dan sampai sekarangpun pihak kementrian ESDM juga tidak berespon laporan saya. Apakah harus menunggu jatuh korban atau kebakaran dahulu baru trafo tersebut direlokasi. Secara kelaikan jalan dan keamanan trafo tersebut sangatlah tidak memenuhi kriteria tersebut. ",Kementerian Energi dan Sumber Daya Mineral (ESDM),  Pemasangan Listrik
kebakaran,"Awalnya lampu jalan sering padam.. sekalinya menyala sekarang Lampu jalan di depan rumah seringkali konslet hingga memercikan api setiap kali jika lampu otomatis menyala tiap hari nya.. saya takut itu akan menyebabkan kebakaran. Keluarga dan para tetangga sudah mencoba untuk melaporkan ke RT/RW namun tidak ada tindakan lanjutan.. bagian PLN juga menolak karena bukan bagiannya katanya.. lalu saya harus bagaimana memperbaikinya..? Mohon untuk tidak di persulit lagi..kami sudah berkali kali merasa di pingpong bolak balik tapi tidak membuahkan hasil..  alamat : Jl. Cangkring Tengah No:32 RT/RW: 03/06 kelurahan : kejaksan. Kecamatan: kejaksan, Kota Cirebon 45123   Terimakasih..",Dinas Perhubungan Kota Cirebon,  Listrik
kebakaran,"Pengurusan TDP, SIUP,SITU,Ijin gangguan dll di Semarang lama sekali, katanya karena ada peraturan pemkot terbaru sprti KRK harus diperpanjang masa berlakunya (padahal sdh ada IMB), rekomendasi dari Dinas Kebakaran dan Lingkungan Hidup, apakah ini benar? katanya ada yang hampir 1 tahun baru kelar pengurusannya. Mohon konfirmasinya terkait hal ini. Terima kasih.",Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu,  Topik Lainnya
kebakaran,"Kepada bapak dan ibu, saudara dan handai taulan. .. disini. saya ingin bertanya mungkin disini ada dari bapak atau ibu yang paham 
1. mengenai pembangunan atau renovasi Pasar apakah harus sesuai ijin dari kepala daerah
2. apakah dalam renovasi serta perbaikan untuk pembangunan pasar mendapat anggaran dari APBD
3. apakah dalam pembangunan serta renovasi memilikk jangka serta ada tolak ukur sebuah bangun untuk layak di perbaiki. ..
4. dalam upaya memajukan pasar tradisional upaya apa saja yang dilakukan oleh pihak terkait ...apakah ada sebuah sosialisasi secara terbuka.
5.apakah ada pembangunan atau renovasi tersebut mempertimbangkan unsur sepi atau ramainya pembeli. .. 
6. dalam hal adanya musibah. .seperti bencana kebakaran apakah biaya perbaikan dan pembenahan juga mendapat bantuan ataukah hanya dibebankan kepada pihak pedagang. ... 
sekian pertanyaan dari saya. .. semoga ada yang berkenan menjawab. ...",Dinas Perdagangan Kabupaten Kabupaten Kendal,  Permintaan Informasi
kebakaran,Akibat Orang iseng/Orang tidak bertanggung jawab telah terjadi Kebakaran di lahan Warga di pinggir Jl Tangek yang berada di Desa Margamulya Kecamatan Pangalengan,Kecamatan Pangalengan Kabupaten Bandung,  Pemasyarakatan
kebakaran,"pak, mohon tindak lanjut, pada tanggal 26 Juli 2017 lalu saya pernah melaporkan tuna wisma yang mangkal di jl. MT haryono 830. Hingga saat ini ybs masih mangkal disitu. Dan masih sering membakar sampah, sudah berulangkali saya ingatkan, diingatkan oleh petugas parkir, bahkan oleh petugas kelurahan, tetap saja masih membakar sampah. Sekadar info, tempat sampah di depan rumah no. 828 sudah hancur karena sering dipakai untuk membakar sampah, sekarang tempat sampah di depan nomor 824 yang dipakai untuk membakar sampah. Sering juga membakar sampah daun kering dipinggir jalan di jalur lambat, hal ini sangat membahayakan kesehatan anak saya dan bahaya kebakaran. Mohon tindak lanjut Pak. Mereka biasanya datang setelah pukul 3 sore, kemudian bermalam, hingga keesokan hari sekitar pukul 10 pagi mereka pergi. Mohon bantuannya Pak. ",Dinas Lingkungan Hidup Kota Semarang,  Lingkungan Hidup
kebakaran,"Lapor Pemkot Semarang,  Perihal: gangguan asap pada pemukiman   mohon timbunan sampah illegal di pertemuan jl. Taman Sambiroto Asri dan jl. Cendana Raya ditertibkan.  Sampah dari timbunan illegal ini setiap harinya dibakar oleh orang tak dikenal. Pembakaran yang tidak bertanggung jawab ini menimbulkan asap lebat yang sangat mengganggu pernapasan dan membuat mata sakit warga sekitar terutama yang tinggal di bawah lokasi pembakaran.  Sering terjadi kebakaran pada area timbunan sampah dan terus menyebar ke sekeliling (lihat foto-foto lampiran).  Harap pemerintah bersikap tegas dan segera bertindak pada pembakar sampah, serta langkah-langkah tegas yang diambil untuk menghindari pembakaran sampah di kemudian hari. Kantor Badan Lingkungan Hidup Pemkot Semarang sulit dihubungi! Nomor seperti yang tertera dalam situs 024-8664742.
Hanya ada nada sibuk atau berdering tetapi tidak ada yang menjawab. Bagaimana warga bisa komplain, jika pemkotnya mengangkat panggilan saja susah.  

Salam, Warga sekitar",Dinas Lingkungan Hidup Kota Semarang,  Lingkungan Hidup
kebakaran,"Mohon konfirmasinya di daerah Cempaka Putih Timur per tanggal 24 & 25 Agustus 2017 setiap malam jam 00.05 atau sekitar jam 12 malam listrik selalu padam sekitar 1-2 jam. Kenapa di jam yang sama, dan waktu yang sama.? bukannya suatu keanehan. Serta paginya selalu mati sebentar, seperti listrik turun sekring, lalu dinaikan. 
Bila sering terjadi seperti itu dikhawatirkan peralatan listik kami 'ac, kulkas,dll bisa rusak. Kalau rusak memangnya PLN mau ganti.?
Bila mati lampu selalu sama dijam yang sama, dikhawatirkan Maling bisa beraksi karena ada celah disitu & penggunaan lilin pada malam hari yg bisa memicu kebakaran karena penghuninya tidur.
",PT PLN (Persero),  Pemadaman Listrik
kebakaran,"Kepada Yth. Pemprov DKI Jakarta.
Saya melaporkan mengenai ratusan anak Kebon Pala Rendah, Kelurahan Kampung Melayu, Kecamatan Jatinegara, Jakarta Timur yang terpaksa belum bisa sekolah menyusul musibah kebakaran yang melanda pemukimannya. Penyebabnya ialah karena mereka kehilangan baju seragam, peralatan dan buku sekolah. Menurut data Kelurahan Kampung Melayu, sebanyak 149 pelajar tidak bisa sekolah karena tempat tinggalnya ludes terbakar. Terdiri dari 77 siswa SD, 40 siswa SMP dan 32 siswa SMA. Selain itu, para pengungsi juga saat ini menempati halaman sekolah SMPN 26, Jakarta sehingga cukup menganggu aktivitas pendidikan sekolah terutama pada saat pelajaran olahraga yang biasanya menggunakan lapangan saat ini tidak bisa lagi digunakan.   Mohon pihak terkait segera mengirimkan bantuan terutama perlengkapan sekolah agar para murid dapat bersekolah kembali. Selain itu, juga dibutuhkan bantuan lainnya seperti makanan, minuman, pakaian layak pakai, makanan & pakaian bayi dan pempers. Juga agar lokasi tempat pengungsian tersebut dapat dipindahkan ke tempat yang lebih layak dan luas seperti Kantor Kelurahan agar tidak menganggu aktivitas sekolah karena jumlah para pengungsi cukup banyak yaitu 1.287 jiwa. Mohon dinas terkait untuk menindaklanjutinya. Terima kasih.",Dinas Sosial,  Topik Lainnya
kebakaran,"""Pasar pagi kaliwungu kebakaran mohon bantuan damkar. Thanks""",Satuan Polisi Pamong Praja dan Pemadam Kebakaran Kabupaten Kendal,  Keluhan
kebakaran,"Yth Satpol pp dan pemadam kebakaran komunitas yg sering mengadakan acara hingga tengah malam di Gedung Wanita, (beralamat di jln h hasan basri, komplek kayutangi 1) sedang mengadakan acara rutin mereka. Adapun komunitas ini sering mengadakan acara hingga tengah malam, dengan musik hingar bingar yang tidak memperdulikan masyarakat sekitar. RT dan petugas lain hanya diam dimohon kepada petugas yang bersangkutan memberikan pengawasan. Agar MINIMAL komunitas ini tidak membuat keributan melewati jam 10 malam. Terimakasih Lokasi :Gedung Wanita Kecamatan Banjarmasin Utara, Kelurahan Sungai Miai,",Satpol PP dan Damkar,  Keluhan
kebakaran,Inhu.yth Bupati kab indragiri hulu.Inhu.kami dari masyarakat.melaporkan mengenai tindak lanjut laporan kami yg dulu yaitu mengenai tentang penjualan elpiji yg tdk sesuai dengan aturan yg berlaku. Pangkalan elpiji. WIRATIKA.yg terletak djln Hanglekir kp.besar kota.KAMBESKO.Yg diduga melanggar aturan Pemerintah.karna gudang elpiji tsb hanya dijadikan tmpt bongkar muat saja. karna kami memperhatikan disetiap kali mobil milik pertamina bongkar d gudang tb kemudian elpiji tsb yg ukuran 3klg dipindahkan ke warung pemilik pangkalan kemudian djual eceran dgn harga yg cukup tinggi yaitu 30 ribu per tabung sementara harga HET yg sdh ditentukan Pemerintah hanya 18 ribu kemudian ditempat penjualan elpiji ukuran 3kgdan ukran 12kg jugak menjual minyak bensin inikan sangat rawan dgn kebakaran skrang kami masyarakat jln hanglekir.Rt.9.10.33.Rw 03 sangat resah dengan adanya penjualan elpiji bkan pada tmpnya jadi kami dari masyarakat mohon kiranya sam bpk Bupati agar menindaklanjuti pengaduan Kami ini.trimkas. ,Dinas Perindustrian dan Perdagangan Kab. Indragiri Hulu,  Migas
kebakaran,mohon informasi dan diselidiki pak kenapa gaji non asn dinas kebakaran selalu mundur dan tidak tepat waktu tiap bulannya dan apakah betul tidak ada anggaran thr bagi anggota non asn dinas kebakaran kota semarang mohon pencerahannya pak salam semarang hebat.,Dinas Kebakaran Kota Semarang,  Topik Lainnya
kebakaran,"Kepada Yth. Pemprov DKI Jakarta
Mau lapor, di Jalan Daan Mogot, tepatnya di seberang hotel Ibis Budget, sekarang sudah menjadi TPS liar, setiap hari 10-15 truk datang untuk membuang sampah dan limbah. Disitu juga terdapat pemukiman apartemen centro city, bisa dilihat akibatnya bila diteruskan. Belum lama ini juga sampah pernah sengaja dibakar, hingga membuat penghuni apartemen terkena dampak asap yang pekat. Pernah karena api yang semakin membesar, mobil pemadam kebakaran sempat ikut memadamkan api tersebut. Kami sekarang resah, kenapa TPS liar ini dibiarkan dan diabaikan sama pihak terkait. Mohon ditindaklanjuti. Terima kasih",Badan Pengelola Lingkungan Hidup Daerah,  Lapor Kecurangan
kebakaran,"Kami dari masyarakat kampung besar kota.KAMBESKO.ingin melaporkan tentang izin pangkalan yang tidak sesuai dengan aturan. Kami dari masyarakat sudah merasa tidak tenang lagi karena takut kebakaran, karena pangkalan hanya melainkan tempat bongkar muat elpiji saja. Setelah elpiji d bongkar dari mobil pertamina elpiji tersebut di bawa ke rumah kemudian pemilik izin menjual dengan orang luar dengan harga yg melebihi HET.bukanlah dijual dengan masyarakat sekitar. yg kami kuatirkan takut kebakaran karna d samping menjual gas yg 3dan 12kl jgk menjual minyak bensin jadi kami atas nama masyarakat memohon sama bpk agar masalah ini d tindak lanjuti. Agar masarakat tenang. Makasi.",Dinas Perindustrian dan Perdagangan Kab. Indragiri Hulu,  Keamanan dan Ketertiban Masyarakat
kebakaran,"Assalamualaikum Pak Hendi, walikotaku yang saya cintai
   Salam Semarang Hebat,
Sebelum kami mengucapkan Minal Aidzin Wal Faizin, Mohon Maaf lahir batin.
  Saya , Sunarto warga sawah besar 1 Kaligawe Semarang. Sebelum lebaran kemarin kami tertimpa musibah kebakaran yang menimpa warung kami, ..tempat kami mencari nafkah, semua pihak dan terutama ki beserta keluarga tentunya tidak menginginkan kejadian tersebut. Kami brrjualan Soto hanya untuk sekedar memenuhi kebutuhan keluarga kami, anak saya 6, 3 putra dan 3 putri. 
Setelah kejadian tersebut kami otomatis tidak bisa beraktifitas karena harus banyak mengeluarkan modal lagi, ...kami sudah tidak punya modal,  sedang kami untuk kebutuhan sehari-hari saja dapat bantuan sekedarnya dari teman dan keluarga.
    Hari Senin setelah kejadian kebakaran, kami didatangi dari pegawai Kelurahan Kaligawe, Bp. Sugeng yag diutus oleh Pak Lurah untuk mendata warga yang terkena musibah kebakaran, katanya Pak Walikota sudah menelpon menanyakan warga yang warungnya kebakaran mau diberikan bantuan. Dan dari pihak Kelurahan menginformasikan warungnya tidak usah diperbaiki karena setelah lebaran ada pembongkaran dan penggusuran. 
 Kami telah menyerahkan data kami fotokopi KTP dan KK, untuk ditindak lanjuti ke Pemkot. Besar harapan kami bantuan tersebut bisa terrealisasi segera, sehingga kami bisa menghidupi keluarga kami. Atas kemurahan hati dan kebaikan bapak Hendi, kami mengucapkan banyak terima kasih.
Wassalamualaikum wr wb

Sunarto
3374042607760004
No. Hp. 0895322174683",Kecamatan Gayamsari Kota Semarang,  Topik Lainnya
kebakaran,Rumah kebakaran di Desa Tanjungharjo sampai sekarang kok belum ada bantuan (Dialog Interaktif),Badan Penanggulangan Bencana Daerah Kab. Bojonegoro,  Ketenagakerjaan
kebakaran,"LAPOR HENDI yth bapak hendi, itu pasar johar dari dulu sebelum kebakaran sampai sudah terbakar tidak pernah rapi. Kok kalah sama kudus atau solo. Kan semarang ibukota jawa tengah pak.Matur nuwun",Dinas Perdagangan,  Topik Lainnya
kebakaran,"Pelapor : Irfan Arifin
Alamat : Kp. Renged, Ds. Renged, Kec. Kresek, Kab. Tangerang, Banten.

Dengan surat pengaduan ini, saya merasa dirugikan oleh PT PLN Perseo karena gardu dan tiang listrik yang berdiri di tanah saya sangat menggangu keluarga saya.
1. Tanah milik pribadi yang dipakai untuk gardu dan tiang listrik milik PT PLN Persero,
2. Suara bising dari gardu tersebut.
3. Kepanikan apabila gardu tersebut terjadi kebakaran.

Oleh karena itu, kami meminta kebijaksanaan dari PT PLN Persero. Untuk memberi fasilitas/intensif berupa:
1. Uang ganti rugi tanah saya yang terpakai gardu dan tiang listrik milik PT PLN Persero.
2. Pihak PT PLN Persero mencabut pembayaran rekening listrik supaya digratiskan.
3. Apabila rumah saya terjadi kebakaran yang disebabkan oleh gardu milik PT PLN Persero. Meminta sepenuhnya kerugian diganti oleh PT PLN Persero.

Demikian surat pengaduan ini saya buat dengan sebenar-benarnya dan saya lampirkan foto-foto untuk barang bukti supaya pengaduan ini bisa secepatnya di tindak lanjuti.",PT PLN (Persero),  Listrik
kebakaran,"""LAPORHENDI Saya karyawan non ASN di DINAS PEMADAM KEBAKARAN KOTA SEMARANG sudah bekerja selama 1,5 tahun kenapa tidak dapat THR untuk kali ini padahal kami juga punya keluarga untuk berlebaran.terima kasih Pak Hendi""",Dinas Kebakaran Kota Semarang,  Ketenagakerjaan
kebakaran,Mohon ditindak pak rumah liar di samping lapangan sepakbola sidodadi. Sangat meresahkan warga tiap pagi bakar2 sampah. Bahaya kebakaran,Kantor Satuan Polisi Pamong Praja Kota Semarang,  Lingkungan Hidup
kebakaran,"/laporhendi Di Jalan muara mas 4 bagian tengah didirikan pos yang menghalangi jalan mobil ataupun truk pemadam apabila terjadi kebakaran, mohon untuk dihi/langkan Posnya maupun taman. Terima kasih",Kantor Satuan Polisi Pamong Praja Kota Semarang,  Topik Lainnya
kebakaran,"Sesuai undang-undang no. 22 tahun 2009 pasal 59 ayat (5) penggunaan lampu isyarat dan sirene sebagaimana dimaksud pada ayat (1) dan ayat (2) sebagai berikut :

A. Lampu isyarat warna biru dan sirene digunakan untuk mobil petugas kepolisian negara republik indonesia;
 B. Lampu isyarat warna merah dan sirene digunakan untuk mobil tahanan, pengawalan tentara nasional indonesia, pemadam kebakaran, ambulans, palang merah, dan jenazah; dan
 C. Lampu isyarat warna kuning tanpa sirene digunakan untuk mobil patroli jalan tol, pengawasan sarana dan prasarana lalu lintas dan angkutan jalan, perawatan dan pembersihan fasilitas umum, menderek kendaraan, dan angkutan barang khusus.

Menurut peraturan di atas bahwa lampu isyarat warna biru dan sirine hanya boleh digunakan untuk mobil dinas polri, tapi nyatanya di lingkungan bsd ( bumi serpong damai ) wilayah hukum polres tangsel semua mobil dan motor patroli satpam bsd atau satpam sinarmas menggunakan lampu isyarat dan sirine padahal tidak sesuai peruntukannya dan satpam diwilayah hukum tersebut kadang suka menabrak kendaraannya ke kendaraan lain jika melakukan patroli untuk mengusir orang orang. Mohon untuk bapak kapolsek pagedangan dan kapolsek serpong menertibkan penggunaan lampu isyarat tersebut tidak sesuai penggunaanya, saya siap membantu jika dibutuhkan.",Kepolisian Negara Republik Indonesia,  Kepolisian
kebakaran,"Yth : Bapak Presiden Joko Widodo

Pak kondisi terminal terboyo sungguh memprihatinkan. Mohon segera di renovasi. Terminal terboyo masuk kategori great A. Tahun 2015,sudah mau di renovasi namun dibatalkan karena adanya kebakaran di pasar johar. Sehingga pemerintah pusat fokus ke pembangunan pasar johar...
Saya pedagang di dalam terminal terboyo.. Kondisi sekarang gelap. Kotor. Dan g terawat bangunannya dan jalan juga banyak lubang... Mohon di renovasi pak.. Please. Kita pedagang ingin tetap terminal di pakai untuk terminal bus. Tidak dialih fungsi tuk terminal truck.
Nasib terminal terboyo sangat memprihatinkan","Dinas Perhubungan, Komunikasi, dan Informatika Kota Semarang",  Usulan Perbaikan
kebakaran,"""LAPORHENDI SAYA PIMPINAN SALAH SATU RS MERASA KECEWA DENGAN PELAYANAN PERIJINAN YG DIBERIKAN KANTOR PEMADAM KEBAKARAN SDH BAYAR RETRIBUSI TETAPI IJIN SUDAH 1 BULAN JUGA BELUM JADI. KATANYA SOP IJIN HANYA 3 HARI. BAGAIMANA INI BAPAK WALIKOTA ?""",Dinas Kebakaran Kota Semarang,  Pelayanan Masyarakat
kebakaran,"Yth 
BPJS Kesehatan Cabang Tapaktuan 
di 
tempat 

Bisakah daftar BPJS tanpa KK? sebab KK saya hilang karena rumah saya kebakaran",BPJS Kesehatan KC Tapaktuan,  Keluhan Administrasi Pendaftaran Peserta di Kantor Cabang dengan indikasi NIK ganda (NIK digunakan oleh peserta lain)
kebakaran, kebakaran rumah,Dinas Kebakaran Kota Semarang,  Pelayanan Masyarakat
kebakaran,LAPOR HENDI mohon diperjuangkan nasibkami yang sudah mengabdi sebagai anggota non asn dinas kebakaran kota semarang mengenai rekrutmen tahun 2017 ini karena kita sudah berjuang bertaruh nyawa melawan api untuk kota semarang pak.trima kasih sebelumnya  ,Dinas Kebakaran Kota Semarang,  SMS
kebakaran,LAPOR HENDI mohon kebijaksanaan saya perwakilan dari teman teman pegawai non ASN Dinas Kebakaran Kota Semarang mohon petunjuk agar kami yang sudah mengabdi di pegawai NON ASN DINAS KEBAKARAN KOTA SEMARANG agar bisa diterima kembali di tahun 2017 ini kita semua sudah bertaruh nyawa untuk KOTA SEMARANG dan juga anak dan istri Yang harus kita NAFKAHI mohon kebijaksanaan Bapak Walikota Semarang tentang rekrutmen di tahun 2017 ini sebelumNya mohon di pertimbangkan nasib kita yang sudah mengabdi lama.terima kasih,Dinas Kebakaran Kota Semarang,  SMS
kebakaran,"assalamualaikum,selamat pagi bapa walikota kota bandung yg saya hormati.Saya adalah pelanggan pembayaran retribusi kebakaran yang mau ditanyakan kenapa dinas yang besar seperti dinas kebakaran kota bandung tidak ada penjagaan dari satpam.Padahal yg saya tahu dulu dinas kebakaran ada satpamnya,sedangkan gedung DPRD yg ada di sebrang nya ada satpamnya.Terima kasih.",Dinas Kebakaran dan Penanggulangan Bencana Kota Bandung,  Pelayanan Masyarakat
kebakaran,"Kepada BPJS TK,

Dengan email ini, saya ingin menyampaikan kekecewaan saya terhadap layanan BPJS. Masalah yang saya hadapi disini adalah, saya tidak dapat mencairkan hak saya untuk klaim 30% bantuan kredit perumahan. Dengan alasan yang cukup sederhana, hanya dikarenakan BPJS belum bekerjasama dengan bank dimana saya mengajukan KPR saya, yaitu BNI Syariah. 

Semua persyaratan sebenarnya sudah saya penuhi,

1. Saya masih bekerja di perusahaan yang sama sejak 9 Agustus 2006 (masa kerja lebih dari 10 tahun, Surat Keterangan Kerja terlampir)

2. Semua dokumen baik asli ataupun fotocopy sudah saya sediakan, antara lain dokumen perumahan, kartu BPJS, KTP dan Kartu Keluarga


Permasalahannya adalah, untuk masalah jual beli rumah jelas melibatkan kedua belah pihak, antara penjual dan pembeli. Dikarenakan adanya perjanjian khusus (MOU) antara penjual dengan BNI Syariah, maka pembelian rumah melalui sistem KPR harus dilakukan melalui BNI Syariah (dan dalam hal ini, penjual tidak memberikan opsi lain).

Dikarenakan adanya kekurangan dalam pembayaran uang muka ke pihak penjual, saya berencana mengajukan klaim 30% ini (dengan tujuan untuk membantu menutupi kekurangan uang muka tersebut). Sebagai informasi tambahan, nilai jual rumah sebesar 2,300,000,000 dan nilai appraisal dari pihak BNI Syariah hanya sebesar 2,175,000,000 (dan hanya 85% yang bisa dijadikan plafon cicilan KPR), sehingga masih ada sejumlah kewajiban yang masih harus saya bayarkan ke pihak penjual.

Sangat disayangkan, BPJS tidak dapat memenuhi klaim saya hanya dikarenakan kerjasama antara BPJS untuk KPR, sementara ini hanya tertutup dengan 2 bank saja, yaitu BTN dan Bank Mandiri. Sebetulnya, dari saya pribadi tidak ada keberatan untuk melakukan pengajuan KPR di Bank Mandiri ataupun BTN, akan tetapi hal ini melibatkan penjual yang tidak memberikan opsi KPR lain, selain melalui BNI Syariah (karena ada nya MOU seperti yang telah saya jelaskan diatas). Dimana saya sudah memberikan uang muka sebesar 100 juta rupiah, dan jika saya membatalkan proses pembelian rumah, maka uang muka ini juga akan hangus (tidak dapat dikembalikan).

Sebenanarnya, BPJS memberikan solusi, tetapi solusi ini sangat amat tidak membantu. Saya sempat berdiskusi dengan pihak BPJS Mampang (dengan Bapak Nugraha Adi Susanto) dan opsi yang disarankan adalah saya melakukan oper kredit atau take over dari BNI Syariah ke bank rekanan BPJS. Jelas hal ini bukan menjadi solusi, karena klaim 30% yang saya harapkan dapat membantu pembayaran uang muka, malah hanya akan digunakan untuk biaya oper kredit tersebut. Sekedar informasi, saldo saya di BPJS tercatat sebesar 160 juta rupiah (kurang lebih, seperti dokumen terlampir) sehingga total klaim 30% diperkirakan sebesar 50 juta rupiah (kurang lebih). Biaya pengajuan KPR, seperti biaya bank (appraisal, admin, dll), biaya notaris, pajak jual beli, asuransi jiwa dan kebakaran diperkirakan sebesar 80 juta (kurang lebih). 

Saya rasa penjelasan saya cukup jelas, jika saya mengajukan klaim 30%, saya tidak akan mendapatkan bantuan apa-apa sebenarnya. Karena saya harus membayar biaya KPR dobel (2x). Yang pertama biaya KPR dengan BNI Syariah, dan yang kedua biaya KPR dengan bank rekanan BPJS jika terjadi proses take over atau oper kredit tersebut (bisa dibayangkan, akan ada tambahan pengeluaran sebesar 80 juta rupiah hanya untuk melakukan proses ini).

Saya sebenarnya hanya ingin mendapatkan apa yang menjadi hak saya. Harapan saya, pihak BPJS dapat membantu untuk pengajuan klaim 30% ini. Karena nasabah BPJS berhak menentukan bank mana yang akan digunakan untuk melakukan pembiayaan KPR ini bukan? Mungkin ada beberapa solusi yang dapat diambil selain melakukan proses oper kredit,

1. Komunikasi antara bank rekanan BPJS dengan pihak Bank BNI Syariah. Untuk memastikan apakah benar terjadi adanya proses pengajuan KPR yang dilakukan. Dan kalau dirasa BPJS membutuhkan dokumen tambahan (SP3K : Surat Pemberitahuan Persetujuan Pemberian Kredit) untuk membuktikan bahwa memang saya benar- benar melakukan proses pengajuan KPR di BNI Syariah, saya dapat meminta pihak BNI Syariah untuk memberikan dokumen tersebut (dimana kredibilitas antar bank dapat di cek melalui BI bukan?).

2. Saya sempat melihat program PUMP-KB, dimana sebenarnya program ini dibuat untuk memberikan bantuan kepada nasabah untuk melakukan pembelian rumah, tetapi saldo mereka tidak cukup jika melakukan klaim 30% dan/atau lama kepesertaan mereka masih baru 1 tahun. Sifatnya lebih menyerupai KTA dengan suku bunga pinjaman 3% diatas suku bunga BI. Akan tetapi, program ini hanya diperuntukkan untuk pembelian tipe rumah 36 dengan harga jual maksimal 500 juta rupiah. Apakah memungkinkan bagi saya untuk mengambil program ini? Anggap saja saya meminjam dari saldo saya sendiri (karena sebenarnya saldo saya masih mencukupi), dan untuk proses pembayaran dapat dipotong langsung dari saldo BPJS saya (dengan bunga tentunya, untuk keuntungan Bank bukan?). Walaupun sebenarnya saya menjadi pihak yang dirugikan, dimana saya harus membayar bunga dengan meminjam saldo saya sendiri, akan tetapi solusi ini lebih menguntungkan jika dibandingkan proses oper kredit tadi.

Saya tunggu balasan dan tanggapan atas email saya ini. Dan saya berharap adanya solusi yang tepat dan efektif yang dapat membantu semua pihak. Untuk lebih memudahkan proses komunikasi, saya dapat dihubungi di nomor 0817 0330 8888.

Terima kasih atas perhatian dan waktunya.
",Badan Penyelenggara Jaminan Sosial Ketenagakerjaan,  BPJS Ketenagakerjaan
