report,unit
"mohon diperhatikan copet di kota Bandung beraksi di depan mata warga bandung seperti koboy jalanan tanpa ada rasa takut terhadap warga pada saat lampu merah di per4an asia afrika / jln. oto,...korban para penyebrang jln dr arah pasar baru...dlm aksinya 3 orang eksekutor 3 orang lg nunggu di motor siap untuk kabur.  Mohon segera di tangani kang Emil sy merasa risih sekali sebagai warga kota bdg,....nuhun",Kepolisian Negara Republik Indonesia
"mohon diperhatikan copet di kota Bandung beraksi di depan mata warga bandung seperti koboy jalanan tanpa ada rasa takut terhadap warga pada saat lampu merah di per4an asia afrika / jln. oto,...korban para penyebrang jln dr arah pasar baru...dlm aksinya 3 orang eksekutor 3 orang lg nunggu di motor siap untuk kabur.  Mohon segera di tangani kang Emil sy merasa risih sekali sebagai warga kota bdg,....nuhun",Satuan Polisi Pamong Praja Kota Bandung
"Saya pengusaha di bali. Saya memiliki toko di area legian-poppies lane 2.  2 tahun terakhir ini ekonomi di Bali sangat lesu. Awalnya saya pikir karena krisis ekonomi di eropa dan negara barat. Tetapi ada juga faktor internal. Seperti masalah sampah di pantai kuta yang banyak, membuat turis sudah tidak banyak lagi yang mau kesana.  Selain itu masalah yang lebih berat karena sudah banyak tukang copet, maling, rampok, bahkan perkelahian di area legian-poppies lane.  Saya sudah mengadu ke polisi setempat dan pemerintah kecamatan kuta. Mereka sudah tidak sanggup mengatasi banyaknya oknum kejahatan di kuta, terutama legian-poppies lane 2. Setelah diselidiki lebih lanjut, ada beberapa tokoh masyarakat sekitar yang tahu jika oknum copet itu baik dari ormas bali sampai ke pemerintah dan oknum polisi setempat ikut dapat jatah keuntungan dari hasil maling yang didapat.  Tolong bantu kami para pengusaha terutama yang punya toko di area legian-poppies lane. Mohon untuk segera ditertibkan agar omset tidak terus menurun yang awalnya omset mencapai 20 juta/hari menjadi tdak sampai 5 juta / hari.",Satuan Polisi Pamong Praja Kabupaten Badung
"Paspor saya hilang dari 2013 sewaktu ke thailand 2013 kemarin karena dicopet, sudah bikin paspor pengganti sementara untuk kembali ke indo pada waktu iu namun belum sempat mengurus paspor pengganti baru. Pertanyaannya sekaran untuk mendapatkan paspor baru apa yang harus saya lakukan? Bagaimana prosedurnya?",Direktorat Jenderal Imigrasi
"Banyak sekali copet... Baru aja kemarin pacar saya kecopetan di KRL selagi transit di stasiun duri . Penumpang juga berdesakan . Saya sarankan ada batasan penumpang kalau perlu pakai tiket gpp deh harga naik 2 atau 3 ribu atau bahkan 5 ribu.. asal penumpang nyaman.. gk berdiri lama.. apalagi berdesakan... Jadi malah gk aman... Saya bingung yg salah copet nya apa pacar saya yg kuran hati"" . Intinya tas nya udah di gendong di depan tetap saja karena berdesakan sang copet leluasa . Saya mohon di tanggapi.. agar tidak menjadi wacana saja.. terkadang penumpang lain tahu kalau org itu copet juga hanya diam.. mungkin nyari aman.. nyesek yah kecopetan hahahaha ",PT Kereta Api Indonesia (Persero)
Mohon ditingkatkan pengamanan di depan Kodim Pintu Kereta Jatinegara karena banyak copet dan jambret dan mulai beraksinya selepas Isya'. Mereka sudah terang-terangan dan bergerombol.,PT Kereta Api Indonesia (Persero)
"Berhubung semakin marak dan banyak terjadi penodongan, perampokan, pencopetan di Mall, penembakan dengan semena-mena, mohon dibantu agar ditingkatkan patroli keliling ke seluruh wilayah Kota Jakarta tanpa terkecuali.",Kepolisian Negara Republik Indonesia
"Kepada Yth. Pemprov DKI Jakarta. Saya pengguna bus TJ sejak 4 tahun yang lalu, saya mengikuti perkembangannya, selama menggunakan bus TJ saya pernah kecopetan hilang 2 mobile phone di dalam tas, karena sering naik bus TJ, maka saya pernah hafal wajah-wajah pencopet di dalam bus TJ. Pernah juga melihat ada seorang ibu jatuh ke tanah ketika berebutan naik bus TJ di halte Dukuh Atas 2 jurusan Pulo Gadung, ibu tersebut ketika melangkah akan masuk bus, didorong oleh desakan banyak calon penumpang, sehingga ibu tsb jatuh melalui celah antara bus dan anjungan halte. Pernah pula baru-baru ini melihat seorang ibu yang kakinya terperosok ke celah antara bus dan anjungan halte di Bunderan Senayan, hal itu terjadi juga dikarenakan dorongan desakan dari penumpang dari samping kiri kanan dan belakang. Kesimpulan dari cerita saya di atas bahwa, diperlukan petugas yang sigap tanggap tegas tetapi tetap ramah untuk menangani ketika ada kejadian misalnya jatuh, terperosok dll yang menyebabkan kerugian moril dan materi. Petugas yang dapat mengatur antrian penumpang yang akan naik bus TJ pada jurusan2 dan jam2 tertentu.yang padat. Petugas yang siap melayani bila ada yang sakit, disiapkan pula peralatan P3K di setiap halte (saya pernah melihat petugas yang kelihatan bingung harus berbuat apa ketika melihat seorang ibu yang kesakitan kakinya, hanya melakukan pencatatan kejadian saja). Petugas penjaga pintu bus TJ yang disiplin informatif, sering saya lihat ada petugas yang tidak menunjukkan papan jurusan yang biasa ditunjukkan kepada calon penumpang, sehingga calon penumpang bertanya dulu padahal kondisi antrian sudah padat. Saya juga mengusulkan kiranya adanya tersedia toilet, saya lihat ada toilet di area halte Dukuh Atas 2, tetapi toiletnya tidak layak pakai.  Mohon dinas terkait untuk menindaklanjutinya. Terima kasih.",Badan Layanan Umum Transjakarta
"Slmt pagi pak hendy, mohon Jalan Nogososro perumnas Tlogosari stelah ditinggikan dikasih lampu PJU, karena lampu yg tersedia adlh inisiatif dn iuran dr warga sendiri. Kami nilai msh sangat gelap dn banyak tindakan kriminalitas sprti copet dan begal, mohon dibantu utk diberikan PJU. Terimakasih",Dinas Perumahan dan Kawasan Permukiman Kota Semarang
"LAPOR HENDI Slmt pagi pak hendy, mohon Jalan Nogososro Perumnas Tlogosari stelah ditinggikan dikasih lampu PJU, karena lampu yg tersedia adlh inisiatif dn iuran dr warga sendiri. Kami nilai msh sangat gelap dn banyak tindakan kriminalitas sprti copet dan begal, mohon dibantu utk diberikan PJU. Terimakasih",Dinas Perumahan dan Kawasan Permukiman Kota Semarang
"Kepada Yth. Pemprov DKI Jakarta
 Prihal bus feeder senen lebak bulus pagi ini. Pagi ini saya merasakan sangat lamanya menunggu bus feeder ini, saya menunggu di halte bus deplu (pejambon), saya sampai halte jam 7.40 , jam 8.00 bus feeder datang sudah penuh dan hanya perbolehkan 1 penumpang saja yang naik, saya menunggu lagi, 15 menit kemudian tidak ada bus feeder yang lewat. Akhirnya saya memutuskan naik kopaja dengan resiko copet, penumpang di oper seenaknya dan ""ngetem"" semaunya, ya benar saja sampai di cikini saya di oper dan harus menunngu bisnya ""ngetem"" cari penumpang.  Saya lihat sudah seharusnya rute ini bisnya ditambah karena peminatnya banyak sekali, sehingga bisa minimal bis lewat per 2 atau 3 menit sekali. Sekarang semakin susah mendapat bis feeder yang tidak penuh sesak. Terima Kasih",Badan Layanan Umum Transjakarta
"Yth, BPJS Kesehatan KLOK Labuhanbatu Utara Saya PNS Daerah Labuhanbatu Utara kemarin saya kecopetan dan saya kehilangan kartu BPJS Kesehatan saya, bagaimana cara saya mendapatkan kartu kembali dan terima kasih",BPJS Kesehatan KC Tanjung Balai
"ibu, anak saya ini kemaren kecopetan, hilanglah dompetnya berserta isi2nya , didalamnya ada kartu bpjs anak saya. anak saya ini tanggungan saya, sy PNS bu. kayak mana ya bu mengurusnya lagi supaya kartu anak saya ini ada kembali, apa-apa saja syarat2nya?",BPJS Kesehatan KC Tanjung Balai
"Kepada, Yth. Pemerintah Provinsi DKI Jakarta,

Mohon ditindak Bus Mayasari Bakti 57 jurusan Pulogadung - Blok M yang jam ini beroperasi tetapi tidak terang lampunya di dalam yang menyebabkan rawan copet, rampok. Terima kasih.",Dinas Perhubungan
"Selamat siang, saya ingin menyampaikan keluhan pembuatan E-KTP di Kecamatan Medan Sunggal, Medan, Sumatera utara. Disini saya sedang mengurus kembali E-KTP saya karena E-KTP saya yang sebelumnya hilang kecopetan. Tetapi sesampainya di kantor kecamatan saya diberitahukan bahwa harus menunggu sampe tahun depan dikarenakan tidak ada blangko yang tersedia di kantor kecamatan tersebut. Sekian keluhan saya.",Kementerian Dalam Negeri
"Yth, BPJS Kesehatan Labuhanbatu Utara saya Pegawai Negeri Sipil dan kemarin saya kena copet tas dan di dalamnya ada Kartu BPJS Kesehatan saya, yang saya akan pertanyakan bagaimana cara untuk mendapatkan kartu BPJS Kesehatan saya ??",BPJS Kesehatan KC Tanjung Balai
"LAPOR HENDY Saya naik bus Taruna dari Solo-Semarang dan mengalami musibah, dompet serta HP dan seluruh surat-surat penting hilang. Kejadian pada hari Sabtu tanggal 3 Desember 2016 pukul 07.20 di Pintu Masuk Terminal Terboyo Semarang. Diperkirakan copet masuk bis di sekitar banyumanik. Tolong keamanan wilayah Semarang diperhatikan Pak, sudah banyak korban di Terminal Terboyo terbukti Semarang tidak aman khususnya bagi pengguna kendaraan umum. Terima kasih","Dinas Perhubungan, Komunikasi, dan Informatika Kota Semarang"
"kerap terjadi kasus pelecehan seksual dan pencopetan di gang bukit sastra jalan ciumbuleuit dekat kampus UNPAR, saat melapor ke RT dia malah mengatakan ""tidak apa2 asal korbannya bukan pribumi"". kami memohon dengan sangat untuk ditindak karena ini mengganggu kami, sudah banyak sekali korban ",Kecamatan Coblong Kota Bandung
"Istri saya eKTP nya sudah pernah dibuat, tetapi dulu sempat kecopetan dan diberikan KTP kertas biasa. Setelah lama, akhirnya kami memutuskan untuk meminta versi eKTP.

Kronologis :
Jumat, 9 September 2016
Sekitar pukul 11.30an kami mendatangi Kelurahan Jelambar Baru untuk meminta pencetakan ulang. Namun pegawainya menyarankan untuk datang setelah jam 1 saja untuk mengambil form pencetakan ulang (tanpa dianjurkan mengambil nomor pelayanan).

Kemudian sekitar pukul 13.00 kami datang kembali ke Kantor Kelurahan tersebut. Ternyata kami baru tahu bahwa harus mengambil nomor. Kami pun baru mengambil nomor, dan mendapatkan nomor antrian ke-66. Waktu itu sedang giliran nomor ke-30.
Jadi kami menunggu untuk dilayani dari sekitar pukul 13.00.

Pertanyaannya, jika memang warga Jelambar sangat banyak, mengapa hanya disediakan satu counter yang melayani KTP? Dan kami merasa dirugikan karena harus menunggu selama hampir 4 jam hanya untuk mencetak ulang eKTP, yang mana datanya seharusnya sudah ada. Kami dan sebagian orang lain mengalami hal yang sama. Mengapa pelayanan Kelurahan Jelambar Baru begitu lama dan membuang-buang waktu? Kami pun juga punya pekerjaan dan urusan lain yang harusnya dikerjakan.",Dinas Kependudukan dan Pencatatan Sipil
"Saya Waenah dari Indramayu, E-KTP saya kecopetan. Untuk print ulang e-ktp apakah tetap harus di Kecamatan Domisili atau bisa dilakukan di Jakarta?  Bagaimana prosesnya? ",Kementerian Dalam Negeri
"Ada yang saya ingin tanyakan khususnya tentang E-KTP, sebelumnya saya sudah membuat E-KTP, tetapi karena saya mendapatkan musibah kecopetan, sehingga E-KTP saya hilang tetapi sudah saya urus dan mendapat pengganti KTP biasa (2 tahun yang lalu). Yang saya ingin tanyakan, apakah sekarang sudah bisa saya urus kembali untuk mendapatkan E-KTP lagi? (mendengar berita agar segera mengurus E-KTP). Jika bisa, bagaimana prosedurnya? tetapi jika tidak bisa, apa alasannya? dan berapa lama saya harus menunggu sampai bisa memproses pergantian menjadi E-KTP? atau saya harus menunggu sampai masa aktif KTP habis (2018)? Saya membuat KTP di kelurahan Pulomerak Banten.",Kementerian Dalam Negeri
"Kepada,
Yth. Pemerintah Provinsi DKI Jakarta,

Mohon Pemprov DKI Jakarta memberikan kenyamanan untuk masyarakat menggunakan angkutan umu, sehingga program pemprov DKI Jakarta untuk angkutan massal berhasil. Dan mohon copet-copet untuk diberantas di angkutan umum sehingga masyarakat nyaman untuk menggunakan nagkutan umum. Terima kasih.",Dinas Perhubungan
"Pada tanggal 18 juni 2016 kemarin istri saya yang bernama NOVA LUKITAWATI menjadi korban pencopetan didaerah Pakah, Tuban, Jawa Timur. dan kemarin tanggal 19 juni ada sesorang yang meng Upload foto isi dari tas istri saya tersebut ke Facebook Media Informasi Tuban, dan orang tersebut menyuruh mengambil tas tersebut di daerah brondong, lamongan dan daerah tersebut rawan terhadap kejahatan kami yakin orang tersebutlah pelakunya dan mau menjebak kami. kami mohon bantuanya bapak-bapak POLRI Indonesia untuk menumpas penjambretan/kejahatan yang terjadi di daerah tuban dan sekitarnya agar tidak ada lagi korban berikutnya, berikut kami lampirkan hasil upload seseorang tersebut ke media informasi tuban dan obrolan seseorang tersebut dengan teman-temannya, semoga menjadi bahan untuk menangkap tersangka tersebut beserta komplotannya.
 Terima kasih atas bantuan dan kerjasamanya.

Salam,
 Nafi",Kepolisian Negara Republik Indonesia
"yth kepolisian bandung
saya mau melaporkan daerah tegalega,alun alun,perempatan buah batu,perempatan leuwih panjang banyak nya pengamen yang memaksa dengan nada nyanyian yang meresahkan seperti ""dari pada saya mencopet lebih baik mengamen"" kalo ga di kasih dia marah marah dan kalo di kasih sedikit dimarah marah lebih baik ga ada pengamen terutama yang pakai anting anting besar di telinga,pakaian yang kumel berlaga seperti preman sekarang banyak di bandung seperti itu mohon di tindak lanjuti hal hal seperti itu karena meresahkan sekitar apalagi pengguna angkutan umum",Dinas Sosial dan Penanggulangan Kemiskinan Kota Bandung
bagaimana cara mengurus kartu bpjs mandiri hilang kecopetan minggu yang lalu?,BPJS Kesehatan KCU Palembang
"PENGURUSAN E-KTP SUSAH SEKALI (KECAMATAN ILIR BARAT II PALEMBANG, SUMATRA SELATAN)

Saya ingin menyampaikan keluhan berkaitan dengan susahnya mengurus e-KTP d Kecamatan Ilir Barat II Kodya Palembang Provinsi Sumatra Selatan. Adik saya kehilangan e-KTPnya karena kecopetan, sudah membuat surat keterangan hilang dari kepolisian bahkan sudah isi data ulang difoto ulang hingga saat ini sudah setahun lebih e-KTP belum jadi dengan alasan tidak bisa cetak e-KTP, tidak konek ke Pusat Jakarta, alat rusak, dll.

Sayapun mempunyai masalah berkaitan dengan e-KTP saya. Tanda tangan yang tercetak hilang 90% ke belakang (ntah kenapa cetakannya sangat jelek) sehingga saya kesulitan mengurus apapun berkaitan dengan bank karena ttd saya berbeda jauh di buku tabungan. Ya masuk akal karena ibarat orang yang kelihatan kepala saja, leher sampai kakinya tidak ada. Saya sudah bertanya pada ibu saya apakah bisa dicetak ulang e-KTP saya karena kesulitan mengurus apapun terutama berkaitan dengan bank (kebetulan saya kerja di luar kota Palembang), namun apa daya masih dengan jawaban yang sama 2 tahun terakhir ini tidak ada perubahan.

Saya sangat jengkel jadinya dengan situasi ini. Yang buat saya jengkel mau sampai kapan hal ini dibiarkan oleh mereka? Jika memang alat rusak apakah tidak ada budget untuk diservis? Mau tunggu sampai kapan masalah ini selesai dan masyarakat dapat dilayani dengan baik kalau tidak ada penyelesaian dari mereka sendiri? Kapan permasalahan masyarakat mau selesai kalau hal sepele seperti e-KTP susahnya minta ampun dengan alasan yang konyol yang dipakai bertahun2 yang menunjukkan sebagai aparat mereka tidak peduli dengan kepentingan masyarakat.

Mohon dicek langsung ke Kecamatan ini. Saya benar2 kecewa dengan pelayanan mereka. Saran saya coba jadi menyamar menjadi orang yang mau membuat e-KTP ya semacam audit rahasia biar Pusat tahu bagaimana kinerja mereka. Coba tanya sudah berapa lama hal ini berlangsung. Survei dengan Ketua RT yang berada di bawah Kecamatan Iir Barat II  Palembang Sumatra Selatan supaya tahu bagaimana kinerja aparat kecamatan Ilir Barat II. Semoga ada tindak lanjut nyata dari pemerintah pusat atas hal ini.

Demikianlah permasalahan yang saya sampaikan. Makin maju negara Indonesia kita, milik bersama.",Kementerian Dalam Negeri
"Kepada Yth,
Kepala Disdukcapil Tangerang Kota
Di tempat


Saya ingin menanyakan mengenai status pencetakan KTP elektronik saya. Pada tanggal 19 Mei 2015 saya kecopetan dan kehilangan KTP dan kartu2 lainnya. Kemudian saya mengajukan untuk penggantian KTP dan diberikan kertas kecil untuk mengambil KTP elektronik 2 bulan kemudian. Lalu saya datang kembali untuk mengambil KTP pada bulan Juli, namun dikatakan KTP belum jadi karena blanko masih kosong, dan saya diminta datang kembali dalam waktu 1 bulan. Kemudian tanggal 11 Agustus saya datang kembali dan ternyata KTP saya belum jadi juga dan saya diberikan surat keterangan sebagai pengganti KTP. Di dalam surat keterangan dikatakan KTP saya dapat ditukar dengan surat keterangan pada bulan Januari 2016, dan status pencetakan dapat dilihat di website www.disdukcapil.tangerangkota.go.id/cekktpel

Namun sampai pagi ini, yaitu tanggal 3 Februari 2016, saya cek status KTP saya belum dicetak.


Tolong saya minta keseriusan pihak Disdukcapil dalam pelayanan terhadap masyarakat, karena saya tidak punya pegangan apapun sebagai bukt identitas saya. Saya pun merasa dirugikan karena saya bolak balik datang ke kecamatan selalu mendapat jawaban mengecewakan bahwa KTP saya belum jadi. Padahal saya harus ijin dari tempat saya berkerja untuk mengurus KTP dan itu membuang waktu saya. Selain itu pekerjaan saya juga menuntut saya untuk berpergian keluar kota minimal 3 kali dalam 1 bulan dan otomatis saya harus ke bandara dan di bandara seeringkali saya bermasalah karena tidak bisa menunjukkan KTP dan hanya surat keterangan yang makin lama juga semakin lusuh karena seringkali dikeluarkan untuk pengecekan di bandara maupun tempat2 lainnya.

Oh ya, selain itu ternyata KTP Kakak saya pun sejak pertama kali perekaman data sekitar tahun 2013 belum jadi sampai sekarang, namun kakak saya tidak mengurus lagi karena bosan berkali2 datang ke kecamatan selalu mendapat jawaban yang sama kalau KTP belum tercetak.

Terus terang kami sangat kecewa dan tidak nyaman dengan kondisi ini. Saya minta dengan sangat supaya KTP kami dan mungkin banyak sekali masyarakat yang merasakan kekecewaan yang sama seperti kami dapat segera tercetak.

NIK kami :
1. Elva Aprilia Nasution 3671135604820003
2. Mulia Sakti Nasution 3671136501810001

Terima kasih

Salam,
Elva Aprilia Nasution, S. Farm",Kementerian Dalam Negeri
"Hari ini saya membaca berita tentang bus baru dari Dephub untuk kota-kota di Indonesia. berikut kutipan:

""Penerima 1.050 unit bus BRT, yaitu Pemda Aceh (25 unit), Lampung (20 unit), Maluku (lima unit), Yogyakarta (25 unit), Kota Pekanbaru (50 unit), Kota Batam (15 unit), Kota Palembang (50 unit), Kota Semarang (25 unit), Kota Sorong (10 unit), Perum Damri (225 unit) dan Perum PPD (600 unit). ""

http://nasional.republika.co.id/berita/nasional/kemenhub/16/01/21/o1aj8r219-kemenhub-serahkan-1240-bus-ke-pemda-dan-bumn

1).
 Saudara saya setiap minggu pengguna bus Semarang - Solo dan melanjutkan perjalanan Solo-Jogja untuk bisa turun di Delanggu, Keadaan bus Solo Jogja kurang layak dan minim jumlahnya sehingga ketika weekend sesak penumpang dan rawan copet. Mohon bantuannya agar ada pengawasan dari Dephub sehingga ada pemerataan distribusi bus baru tersebut agar mencakup seluruh kota kecil dan memudahkan transportasi warga.

2) 
 Juga berharap ada kereta langsung dari Semarang menuju Jogja yang berhenti di stasiun Delanggu. Banyak sekali warga commuter yang weekend ke daerah klaten dan sekitarnya (namun bekerja di Semarang). Dengan adanya kereta sebenarnya bisa mengurangi kemacetan jalan solo semarang. Sekarang sudah ada kereta Semarang ke Solo tapi hanya 1 x sehari pagi. Dan ada kereta prameks Solo ke Jogja tiap 2 jam , tapi tidak berhenti di stasiun Delanggu. Hal ini menyulitkan kami sebagai warga Pak. Mohon perhatiannya.

Salam.",Direktorat Jenderal Perhubungan Darat
"Kartu BPJS saya hilang karena dompet saya hicopet orang, bisa tidak saya mendapatkan kartu BPJS yang baru ?",BPJS Kesehatan KC Prabumulih
"Apa betul di Bandung ada acara Musyawarah Copet se Jawa ? Kumaha kang Emil,  teu ngisinkeun urang Sunda ? ( harian kompas 7 jan.2016 ) Was. Yoga.",Dinas Komunikasi dan Informatika Kota Bandung
"Tablet ASUS hilang dikereta api. Tas robek bekas sayatan benda tajam. Keamanan Kereta Api buruk? Copet berkeliaran. Menteri Perhubungan, BUMN dan PT KAI kemana bisa membiarkan copet berkeliaran dalam kerata api?",PT Kereta Api Indonesia (Persero)
"Yth. Kementerian Ketenagakerjaan, Bagi karyawan yang masih bekerja proses pencairan pensiun sebesar 10 persen atau 30 persen, saya rasa tidak efisien dan rumit. Hal tersebut karena karyawan harus bolak-balik dengan antrian yang panjang. Selain itu, dari segi kemanan di luar gedung juga masih kurang karena terdapat banyak copet. Oleh karena itu, sebaiknya sistem pengambilan lebih dipermudah dengan kerjasama antara BPJS dan unit personalia perusahaan dimana karyawan bekerja, sehingga untuk pendaftaran dan pengisian formulir secara kolektif. Kemudian dananya ditransfer ke rekening bank masing-masing karyawan yang biasa digunakan transfer gaji. Mohon dipertimbangkan, terima kasih",Kementerian Ketenagakerjaan
"Yth. Kementerian Perhubungan

Saya sebagai pengguna transportasi angkutan kota berupa angkot biasa (Trayek Plaju Ampera) dan Bis Kota (bukan Trans Musi) ingin menyampaikan keluhan yang mungkin saja sudah menjadi hal yang lumrah dikalangan DISHUB sendiri.

1. Supir Ugal-ugalan, ada juga sopir dan kernet Mabuk Minuman Beralkohol.

2. Tidak memakai Sabuk Pengaman (sabuk keselamatan) dan sengaja mencopot/memutuskan sabuk/ menghilangkan sabuk dari tempatnya agar punya alasan tersendiri ketika terkena razia.

3. Supir yang selalu gonta-ganti / supir tembak, bahkan supir ada yang mengaku masih sekolah SMA dan jadi supir karena ingin uang rokok, berarti banyak supir yang tidak memiliki SIM dan surat kelengkapan untuk membawa kendaraan.

4. Banyak Angkot dan Bis Kota beroperasi dengan kondisi TIDAK LAYAK JALAN, terlihat jelas dari kondisi fisik kendaraan mulai dari speedometer tidak berfungsi, lampu sorot tidak berfungsi, lampu sein tidak berfungsi, dan kondisi body yang rapuh dan berkarat.

5. kelengkapan surat emisi kendaraan & surat layak jalan / KIR diragukan, karena banyak sekali angkot dan BIS KOTA yang bisa beroperasi dengan kondisi asap yang mengepul, kondisi Ban Gundul, dan kondisi-kondisi lainnnya seperti pada bagian nomor empat sebelumnya. apakah terjadi tindakan suap menyuap dibagian dinas terkait? Mohon DISIDAK.

6. Ada Sopir / kernet yang diduga bersengkongkol dengan para pencopet yang biasa beraksi di angkot & BUS. seharusnya bisa dicegah ternyata mereka dengan sengaja meloloskan mereka ketika lari dan seolah acuh tak acuh, keamanan penumpang tidak terjamin.

7. Pajak kendaraan Angkot & Bis Kota (ketika beroperasi di jalan) banyak yang MATI terutama pajak tahunan, TNKB / NOPOL kendaraan yang sudah mati, bahkan tanggal ""masa uji berlaku kendaraan"" juga banyak yang sudah lewat bahkan ada yang sengaja dihapus atau dibuat palsu oleh pihak  supir dan kernet tersebut.

Saya yakin petugas DISHUB sudah banyak mengetahui akan hal ini, dimohon ketegasaannya dalam menindak Supir & Kernet nakal dan arogan. jangan takut. Bila perlu koordinasikan kerjasama khusus dengan kepolisian untuk memberikan Sanksi tegas bila petugas DISHUB merasa takut saat menindak tegas mereka supir, kernet, dan pemilik kendaraan yang nakal.

Mohon ditindaklanjuti, terima kasih.",Direktorat Jenderal Perhubungan Darat
"Yth. Kepolisian RI,

Saya ingin melaporkan mengenai rawannya Masjid Istiqlal selama bulan puasa. Banyak copet yang beraksi karena tidak adanya petugas, khususnya di pintu Al-Fatah. Salahsatu pelaku berciri-ciri sebagai berikut: umur sekitar 50 tahun, cenderung gemuk, jalan tertatih-tatih, jika sampai bertatap mata dengan pelaku seolah kita lupa terhadap barang bawaan kita, biasanya pelaku tersebut bertiga. Para pelaku biasa beroperasi setelah sholat wajib, khususnya pada waktu maghrib.

Mohon ditindaklanjuti. Terimakasih.",Kepolisian Negara Republik Indonesia
"Yth. Kepolisian RI

Saya adalah pengguna rutin setiap hari minggu malam dini hari trayek bus Merak-Cikarang. Setiap perjalanan saya selalu ada copet yang beraksi di dalam bus, mereka beraksi ketika penumpang tidur. Mereka kadang naik dari Merak, Serang dan Bitung. Komplotan mereka biasa turun di daerah Bekasi, Jatiasih atau di Bekasi timur/barat. Mohon untuk pihak Kepolisian turun tangan mengatasi ini karena saya sudah 3 kali tas saya di silet. 

Terimakasih.

",Kepolisian Negara Republik Indonesia
"Yth. Kepolisian RI,

Menjelang hari raya mohon adakan pengamanan preman & copet di angkot dan metro mini, terutama untuk daerah Semper-Priok yang rawan tindak kriminalitas bahkan sudah menggunakan benda tajam. Terima kasih.",Kepolisian Negara Republik Indonesia
"YTH.KPD:PT.KAI COMMUJER JABOTABEK.DGN CARA MEMBERANGKATKAN PENUMPANG TRANSIT MEMBUKA LOWONGAN COPET.BERHENTI DI KP.PANDAN MENUJU KE KOTA SEBUAH HP.ADVAN 535E 3.5"" BERPINDAH TANGAN DGN SEGERA PADAHAL BARU DI BELI TGL.9.~6.~2015.WARNA HP.HITAM TRIM  ",PT Kereta Api Indonesia (Persero)
"tKps 3big5m5077507 Sy brtrmksh skl dpt bntuan KPS,krn bnyk membntu kehdpan km,tp krtu km mlh hlng krn kecopetan.Gmn crny km nnt agr bs mngmbl bntuan  dr tbpk?     ",Tim Sosialisasi KKS
"Yth. Kepolisian RI,

Saya ingin melaporkan mengenai banyaknya pencopet dijalan antara Stasiun Jatinegara-Jl. Pisangan. Mohon bapak polisi menangkap pencopet tersebut karena meresahkan masyarakat. Untuk masyarakat umum harap berhati-hati jika berjalan kaki dengan membawa tas pada saat setelah maghrib di jalan antara Stasiun Jatinegara-Jl.Pisangan banyak copet yang dengan berani membuka dan merogoh tas.

Ciri-ciri pencopet tersebut:
- Jaket parasut warna hitam
- Topi warna hitam
- Tinggi badan antara 165-170 cm
- Jam operasi setelah maghrib pkl 18.00 keatas

Mohon ditindaklanjuti. Terimakasih.",Kepolisian Negara Republik Indonesia
"Tolong berantas pencopet di angkot 05, bulan lalu saya sudah menjadi korban, saat itu mereka beroperasi sekitar jam 9 malam didalam angkot 05, nuhun",Satuan Polisi Pamong Praja Kota Bandung
"Pagi ini saya baru mengalami kecopetan di KOPAJA 602 jurusan Mampang - Monas via jalur busway. Dompet berisi uang beserta semua kartu penting hilang. Ketika lapor ke polisi, ternyata kasus copet di angkutan umum seperti Metro Mini dan Kopaja katanya memang umum terjadi.

Saya pilih naik Kopaja semata karena efisiensi waktu, walaupun kondisi angkutan tersebut sangat tidak layak karena penuh sesak. Ternyata kondisi ini menjadi sasaran empuk para copet. Kini saya paham kenapa banyak rekan kerja yang menghindari risiko ini dan masih memilih menggunakan kendaraan pribadi, walaupun harus membuang waktu dan biaya yang lebih besar. 

Andaikan dari Pemda bisa memberikan perhatian lebih di pagi dan sore untuk bisa mengerahkan berbagai sarana transportasi yang memungkinkan, baik itu milik instansi atau swasta, untuk memastikan para pegawai semua dapat terangkut dengan cepat dan selamat ke tempat kerja, itu suatu keniscayaan yang luar biasa.

Saya pesimis bila hanya berharap pada operator angkutan umum yang ada untuk bisa memperbaiki kinerja. Mereka mungkin malah senang dengan kondisi beban yang berlebih. Harus ada solusi tandingan.

Jakarta jadi kota tujuan wisata? Hmm sepertinya belum siap. Jangankan kenyamanan untuk pelancong, untuk warga Jakarta sendiri masih belum bisa aman naik kendaraan umum. Tolong jangan biarkan Jakarta menjadi 'scam city', tempat dimana para copet, pencoleng dan preman bisa merajalela. 

Mohon bantuannya. ",Pemerintah Provinsi DKI Jakarta
Dipasar Kaget Gasibu setiap hari minggu banyak berkeliaran penjamret dan copet yang terang terangan mohon ditindak lanjuti pa terima kasih,Satuan Polisi Pamong Praja Kota Bandung
