report,label
jaln macet sukorjo weleri ... gara '' pohon tumbang,Natural Disaster
"mohon untuk di tindak lanjuti , banyak sekali tempat hiburan malam di wilayah tegal kota dan kabupaten yang mempekerjakan anak perempuan dibawah umur 18 tahun . yang saya temui langsung ada di daerah tegal kota , di hollywood karaoke , deretan rumah toko nirmala . standart kesehatan nyaris tidak ada . mohon agar ditertibkan dan di fasilitasi agar mereka dapat kembali ke sekolah dan terhindar dari ancaman kekerasan seksual . terima kasih atas kepeduliannya .",Crime
"saya mohon dengan sangat pada pemerintah provinsi banten khususnya pemerintah daerah kabupaten tangerang bahwa terjadi banjir akibat pasang air laut di wilayah kp . kebon besar , desa kosambi timur , kecamatan kosambi , kabupaten tangerang kode pos 15213. mohon untuk di cek ke lokasi , mengingat dilaporan sebelumnya dinas terkait melakukan pengecekan di kali perancis dan dadap , padahal berbeda saluran airnya , dan kp kebon besar jauh dari kali perancis.. mohon dengan sangat di survey ke lokasi agar dapat melakukan tindakan-tindakan sesuai sop mengingat ada pembangunan dan pergudangan disekitarnya . mohon dengan sangaat sangatt bantuannya , mohon sekali bapak/ibu .",Natural Disaster
"22 oktober 2019 kepada yang terhormat . bapak bupati deli serdang lapor pak disekitar tempat tinggal saya di sekitaran tanjung gusta banyak sekali dari mulai anak smp bahkan sampai bapak-bapak yang coba dan ketergantungan narkotika, psikotropika, dan obat terlarang . akhirnya keluarga dan masyarakat resah karena kalau mereka sudah tidak ada duit pemakai narkotika, psikotropika, dan obat terlarang itu mencuri ke rumah-rumah , apa saja yang bisa dijual termasuk kejahatan pencurian kendaraan bermotor dengan kekerasan . mohon pak agar ada kordinasi dengan polsek setempat guna razia terkordinir narkotika, psikotropika, dan obat terlarang ini , sudah siaga 1 ini pak karena mewabah ke berbagai skala umur dan kalangan . terima kasih - peduli bangsa -",Crime
"terdapat pemungutan parkir liar di sejumlah atm di kota medan , pada atm cimb niaga jalan sumatera , dan cimb niaga di jalan asia . para tukang parkir liar memaksa harus membayar dan menggunakan kekerasan fisik bila tidak di berikan uang . mohon untuk segera di tindak lanjuti .",Crime
"kopaja ac p20 lebak bulus - senen tidak menghargai dan rawan tindak pencopetan . yang terhormat . pemerintah provinsi dki jakarta saya ingin mengadukan perihal kopaja ac p20 jurusan lebak bulus - senen , bernomor polisi b7432np , yang saya naiki pada hari kamis , 17 oktober 2013 sekitar pukul 17.10 wib . di kopaja ac tersebut , kondisi penumpang sudah sangat penuh , bahkan untuk berdiri saja susah . namun , kondektur tetap memaksakan penumpang dari luar masuk dan memaksa penumpang dari dalam kopaja untuk bergeser ke dalam . praktis para penumpang marah-marah kepada kondektur bukannya meminta maaf , supir bahkan ikut2an menyuruh kondektur mengembalikan uang ke salah satu penumpang agar segera menurunkan penumpang yang protes tersebut . disaat saya dan penumpang lain lengah , ternyata ada pencopet yang beraksi mencopet dompet saya dan mungkin dompet para penumpang lain . saya baru menyadari dompet saya hilang saat turun di halte busway patra kuningan . saya jadi curiga apakah ada kerjasama antara supir , kondektur dan pencopet tersebut . padahal menurut informasi yang saya baca di infojkt.com , menurut kepala dishub dki jakarta , para supir kopaja ac digaji 2 juta rupiah sebulan . kenapa masih seperti itu perilakunya ? mohon dengan sangat agar dishub dki jakarta menindak hal ini , agar tidak erjadi lagi keresahan penumpang di kopaja p20 ac . terima kasih",Crime
"selamat sore , pak ridwan kamil.. mau lapor ! setiap hujan di jalan cibeunying kolot - cikondang - jalan cikutra barat selalu terjadi banjir . air hujan meluap ke jalan . gorong-gorong/drainase tidak berfungsi dengan baik . punteun pa diperhatikan .",Natural Disaster
"terkait masalah perbaikan jalan dan lalu lintas kabupaten . bantul , karena seringnya jatuh korban kecelakaan karena di akibatkan berlubangnya jalan ( apalagi musim hujan ) , saya berharap dinas terkait segera untuk menambal jalan yang berlubang di sekitar jalan raya pleret , bantul , yogyakarta . mengingat jalan itu akses utama dan padat kendaraan , kami mohon untuk segera diperhatikan .",Traffic Accident
"tanggal 22 -10-2019 dini hari terjadi perampasan , penodongan , disekitar jl.soleh iskandar . pelaku memakai sepeda motor dan membawa senjata tajam samurai dan cerulit . diperkirakan lbh dari 4 orang . pelaku berhasil membawa 1 unit hp . berdasarkan pelacakan dg no.email dan imei hp , lokasi pelaku terdeteksi sekitar jl.anggrek 11 ,4 .didaerah pengasinan depok . mohon kepada pihak terkait untuk dapat segera memproses sesuai hukum yang berlaku . terima kasih .",Crime
"kemanakah pmp kemanakah ppkn banyak sekali generasi penerus khususnya anak dibawah umur yang sudah kehilangan moral berbangsa dan bernegara . sangat perlu nampaknya pemberlakuan larangan warnet dibawah umur game online yang mengandung kekerasan serta video konten youtube . perlu sekali pembenahan sistem pendidikan , larangan dan aturan yang tegas demi terciptanya masa depan indonesia yang lebih baik",Crime
"guru menampar murid assalamu'laikum wrwb perkenalkan saya orang tua murid smpn 1 pendek kelas 8b kabupaten . klaten jawa tengah alasan karena terlambat masuk kelas selama 30 menit menerima hukuman sebuah tamparan pada hari ini jumat , 27 september 2019. kami berharap dapat memberi sanksi dan hukuman dari para pejabat pengawas pendidikan untuk memberi efek jera kepada seorang guru smpn 1 pendek bernama qonita yang menjadi pelaku kekerasan , bisa saja kasus ini kami mempidanakan guru tersebut dg pasal 80 ayat 1 uu no.35 tahun 2014 tentang perlindungan anak . saya pikir yang penting bagaimana tidak terulang kembali , kalau juga ( dikenai ) pidana masih terulang bukannya percuma , tapi kepala sekolah selaku atasan beliau dan pimpinan disini tidak berhasil mengawasi bawahannya . dengan cara memberikan sanksi tersebut sekolah diharapkan menjadi tempat menimba ilmu yang nyaman , aman dan menyenangkan kesadaran ini yang mesti dimiliki guru . permintaan kami kepada kepala dinas agar dapat dimutasi guru tersebut ke daerah lain agar murid tidak menjadi korban kekerasan kembali . anak saya ingin belajar bukan untuk dihajar , terima kasih wassallamu'alaikum wrwb",Crime
"kepada yang terhormat pemerintah provinsi dki jakarta ingin melaporkan pelayanan busway yang tidak nyaman.saya sudah 2 kali kecopetan di busway karena kondisi halte dan bus yang sangat ramai , kedatangan bus yang lama , fasilitas penerangan yang mendukung aksi kejahatan , dan kurangnya petugas yang berada di bus ataupun di halte . kalau terus seperti bagaimana bisa mewujudkan transportasi massal yang diimpikan bersama.mohon perhatiannya , terima kasih .",Crime
"jalan babarsari dan jalan baladewa sering digunakan sebagai arena balap liar pada malam hari sampai subuh . biasanya hari jumat , sabtu dan pada hari libur . lokasinya jalan babarsari , desa caturtunggal , kecamatan . depok , kabupaten . sleman , yogyakarta . di jalan baladewa juga terdapat sebuah pub yang membuat orang-orang mabuk dan sering tawuran di sekitar jalan baladewa . mohon ditertibkan .",Crime
"sering ada tawuran anak2 di malam hari , di dekat grandlucky radio dalam . hampir tiap minggu ada tawuran . tolong di pantau , supaya tidak ada pengguna jalan atau masyarakat yang terluka .",Crime
"kepada yang terhormat . pemerintah provinsi dki jakarta , maraknya kekerasan wanita dan anak tidak lepas dari adanya tayangan tv dan mudahnya akses internet . di lingkungan sebelah selatan smp 202 pondok bambu ada warga yang membuka warnet kadang sampai dinihari , pelanggannya anak2 remaja smp tanpa pengawasan pengelola maupun pengurus rt . 016/06 . hal ini sangat meresahkan warga sekitar . mohon dinas terkait untuk menindaklanjutinya , terima kasih .",Crime
"ayah saya ditahan atas suatu kasus di tahanan di wonogiri , jawa tengah dan mendapat vonis 7 bulan dari hasil sidang . sebelum menjalanai hukuman ayah saya sudah mendapat cerita bahwa jika ingin mendapat potongan ( asimilasi ) atau tempat 'aman ' harus membayar kira-kira 10 juta . kata yang saya kutip adalah sel tahanan sendiri jauh dari kekerasan . hari ini mulai menjalani hukuman hari pertama , saya sudah mendapat kabar melalui ibu saya yang ditelepon ayah lewat hp orang dalam mengatakan bahwa butuh uang 25jt agar ayah saya tidak dicampur dengan narapidana lain dan tidak mendapat kekerasan . saya ingin melapor terkait pungutan liar yang dilakukan oleh orang di tahanan , saya tidak tahu jelas orangnya yang pasti adalah orang yang berwenang yang melakukan pungutan sebesar 25jt kepada keluarga narapidana . apakah hal ini dibenarkan ? mohon segera ditindak lanjuti . terima kasih .",Crime
lapor hendy bapak hendy yang saya hormati & saya banggakan ... .slmt pagi . bapak maaf saya warga puspogiwang raya mau menyampaikan ada pohon-pohon besar dipinggir jalan puspogiwang raya . karena ini musim hujan & disertai angin cukup kencang takutnya pohon tumbang & bahaya menimpa warga-warga & pengguna ; jalan yang lewat bapak . tidak hanya 1 pohon tapi ada beberapa pohon bapak . terima kasih atas perhatiannya ... matur nuwun ... .,Natural Disaster
"lapor pohon tumbang , belum ada penanganan , mohon bantuannya . lokasi : jalan . pejompongan raya depan rumah makan soto sedap hj widodo .",Natural Disaster
"ingin melaporkan tindakan ancaman pembunuhan , penculikan , pelecehan serta kekerasan verbal yang di lakukan orang - orang dari aplikasi cashcashnow , indocash , uangpintar",Crime
"kepada yang terhormat . pemerintah provinsi dki jakarta . saya telah melaporkan ke rt dan rw mengenai pohon tumbang/patah dengan ranting besar di jalan natuna dekat redaksi sindo . belum ada reaksi dari dinas terkait , bahkan pihak kecamatan hanya melihat saja tanpa reaksi , apakah ini menungguh jatuh . mohon untuk ditindaklanjuti , terima kasih .",Natural Disaster
"lapor mas hendi.hari ini , sabtu ( 17/12 ) terjadi kecelakaan yang diakibatkan pohon tumbang di jalan . indraprasta semarang . korban terluka parah dan dirawat di rumah sakit . kariyadi.mohon ditindaklanjuti sebelum ada korban selanjutnya dan pada yang sudah menjadi korban juga mohon diperhatikan.terima kasih",Natural Disaster
"ada pohon besar yang sudah tua milik pemerintah kota malang di depan halaman rumah toko milik ayah saya tepatnya di depan hotel umm inn dau - malang , saat ini keberadaannya mengganggu proses parkir yang digunakan di depan rumah toko tersebut . dan dari sisi safety kemungkinan pohon tumbang dan menimpa orang juga besar.mohon diinfo apakah dinas pertanaman kota malang bisa melakukan penebangan ? apakah bisa diberikan siapa nya ?",Natural Disaster
"salam hari ini sabtu , tanggal 9-3-2019 di kota pekanbaru , sesegera mungkin kebakaran hutan mulai terasa mohon segera ditangani , supaya tragedi sesegera mungkin kebakaran hutan tahun 2015 tidak terulang lagi terima kasih",Fire
pagi pak wagub dki.mhn ijin ada tanah fasos fasum di tg.duren utara vii rt011/03 jak barat.dirampok oleh oknum kec.kel.jaksa.hakim.bpn .a/n suzy nata rahardja.hgb03138/pmna/kabpn no3 th1997a/n suzy nata rahardja.jelas jelas tanah fasos fasum.ada kntr rw03.sdh pernah mencuat oknum jaksa hakim yang merekayasa pernah diperiksa.tp ga jls.bagi bagi hasil rampokan.sy tinggal di tg durian utara sejak th80.tahu persis lahan fasos fasum dirampok oknum.skrg diduduki forkabi jadi lahan parkir bayar per mbl 500rb.msk 30mbl.ada juga pedagang.mhn bntn pak wagub supaya lahan tersebut bisa kembali jadi tempat anak anak warga untk lahan bermain .,Crime
"saya ingin menyampaikan aspirasi mengenai pendidikan di indonesia . sebagaimana kita ketahui indonesia menempati urutan ke 65 dari 72 negara tentang kualitas pendidikan . saran saya untuk pendidikan indonesia : 1. diberlakukanya pendidikan karakter saat ini banyak anak anak sekolah yang tidak memiliki karakter , misalnya menyontek saat ulangan . saya rasa masalah menyontek dapat menjadi berbahaya jika mereka kelak dewasa dan harus dibasmi mulai dari sekarang . 2. sekolah di indonesia harus lebih menghargai karakter dan sikap murid daripada nilai akademis , karena jika hanya memperhatikan nilai akademis maka murid cenderung untuk tidak jujur ketika ujian 3. murid harus lebih mengembangkan nilai nonakademis daripada akademis , karena ekstrakulikuler bisa menjadi passion mereka yang akan kelak mendatangkan kebanggaan bagi negara 4. murid sekolah harus menggunakan bahasa indonesia yang baik dan benar . saat ini banyak anak sd yang menggunakan kalimat yang tidak pantas seperti misalnya `` kamu '' dan `` saya '' saya rasa harus ada kurikulum yang paham tentang itu 5. harus belajar disiplin dan mandiri mulai dari kecil , maksudnya adalah seperti hukuman untuk siswa yang datang terlambat dan belajar mandiri seperti , diajari untuk memasak , mencuci pakaian , dan lain-lain 6. harus ada peraturan yang membela kaum guru , karena saat ini banyak rasa tidak hormat dan kekerasan pada guru maka seharusnya ada peraturan yang membela kaum guru dan tidak terlalu over protektif kepada murid karena murid seharusnya dididik dengan tegas 7. diharapkan adanya pembelajaran yang efektif terutama ketika jam kosong . ketika jam kosong siswa diharapkan dapat belajar sendiri , bukanya bercanda ataupun mengerjakan tugas yang dilakukan dengan menyontek 8. perlu adanya monitoring cctv di setiap ruang kelas untuk memantau siswa yang tidak disiplin untuk diberikan sanksi yang tegas",Crime
"kepada yang terhormat . pemerintah provinsi dki jakarta . saya warga jalan kramat pulo gundul ii , rt.3/9 , nomor k38a , melaporkan telah terjadi kembali tawuran antar warga di jalan tersebut diatas pada hari kamis subuh 26 mei dan jumat malam 27 mei . tawuran ini sudah yang kesekian kalinya , kami sebagai warga merasa takut dan khawatir dengan kondisi ini , minta tolong warga kampung jawa dan kampung masjid di tertibkan . saya berharap mereka bisa dipindahkan ke rumah susun karena mereka menempati tanah garapan . mohon untuk ditindaklanjuti , terima kasih .",Crime
saya berharap kemenpupr ri membangun gedung serbaguna untuk kabupaten dan kota yang rawan bencana agar sewaktu waktu dapat digunakan untuk pengungsi bila terjadi bencana alam .,Natural Disaster
"lapor . ada batang pohon tumbang melintang di kabel listrik tegangan tinggi . lokasi berada di daerah antara smpn 46 bandung dengan smat krida nusantara . kejadian tersebut nampaknya terjadi pada hari kamis - 28 nopember 2013 ketika terjadi hujan lebat . hari kemarin salah seorang teman saya mengatakan bahwa dia sudah berusaha melapor ke pln . tapi sampai sore ini , 30 nopember 2013 , ketika saya melewati lagi jalan tersebut , ternyata belum ada penanganan . mohon solusi , khawatir membahayakan",Natural Disaster
"anak dari daerah lain menyerang anak-anak sungai jawi dalam . mengajak tauran . ketika dipanggil pihak kepolisian hanya membubarkan . tidak lama setelah dibubarkan dan polisi pergi mereka berkumpul kembali dan mengajak tauran lagi . ini sangat mengganggu warga sekitar . dan ini juga membahayakan karena para penyerang membawa senjata . selain itu , kejadian ini juga membahayakan bagi pengguna jalan raya , karena mereka berlarian disekitar jalan raya sungai jawi dalam . saya melihat para penyerang sedang berkumpul di barau ( depan gg margodirejo ) . ini selalu terjadi di setiap malam minggu . mohon segera ditindaklanjuti agar tauran ini tidak terjadi lagi . harap laporan ini segera direspon . untuk mencegah hal yang tidak diinginkan terjadi malam ini , orang di gg kami sudah menelpon polisi namun mereka hanya dibubarkan , harap polisi bertindak untuk memberi mereka efek jera agar tidak terulang . terima kasih .",Crime
krl ada ranting pohon tumbang dan nyangkut di kabel listrik . di jalan . santoso dekat rumah bapak . arullah dwi tunggal . mohon di teruskan ke dinas terkait .,Natural Disaster
"untuk wilayah jagakarsa , jalan . muh.kahfi 1. sering terjadi tawuran anak abg . tepatnya jlan skitaran tpu kampung kandang . biasanya antara pukul 1 - 4 pagi . sebagian bahkan berani melakukan pemalakan warung pinggir jalan . mohon sering dilakukan patroli . dan bocah-bocah tersebut ditertibkan . karena sangat meresahkan .",Crime
"yang terhormat . pemerintah provinsi dki jakarta , tolong tinjau wilayah jalan luar batang 5 kelurahan penjaringan , terjadi banjir tiap hari karena saluran airnya yang mengarah ke waduk pluit macet dan diatasnya banyak dibangun bedeng-bedeng tempat usaha khususnya yang berada di sekitar jalan muara baru sehingga perlu kekuatan pejabat untuk membongkarnya dan memperlebar saluran yang mengarah ke waduk . trimakasih",Natural Disaster
"selamat malam , mohon kepada dinas pekerjaan umum provinsi dki jakarta untuk segera memperbaiki lubang yang berada di jalan layang pluit arah grogol . karena lubang yang ada sangatlah besar dan jelas berbahaya sekali bagi para pengendara kendaraan bermotor yang tidak mengetahuinya ( khususnya roda dua ) menurut kesaksian teman saya , sudah ada dua pengendara roda dua yang mengalami kecelakaan dan terluka cukup parah dibagian kepalanya hingga mengalami pendarahan yang cukup hebat . teman saya memang sering melewati jalan layang tersebut karena merupakan akses menuju tempatnya bekerja . demikian laporan saya , saya harap dinas pekerjaan umum provinsi dki jakarta segera menangani masalah ini sehingga tidak menimbulkan korban kecelakaan lagi . terima kasih",Traffic Accident
"diharapkan perhatian dan tindak lanjutnya atas kondisi korban banjir di jalan . cipulir raya rt08/10 kelurahan cipulir , jakarta selatan . hingga saat ini masih terdapat genangan air 1,5 meter dan pihak kelurahan kurang berperan aktif dalam memberikan bantuan .",Natural Disaster
"kepada yang terhormat pemerintah provinsi dki jakarta . mohon di tinjau pohon angsana yang sudah rimbun di jalan . rajiman , rawa badung , buaran , cakung , jakarta timur , karena sudah memasuki musim penghujan dan takut ada angin dan hujan kencang yang bisa membuat pohon tumbang . terima kasih",Natural Disaster
"kramat pulo gundul terjadi tawuran , semalem yang keempat kalinya dan terparah . karena ada pelemparan petasan yang sangat besar , dan dilempar ke rumah warga , kami tidak tahu apa permasalahannya yang paling jelas . minta tolong untuk segera ditindak lanjuti , soalnya kami takut ada pembakaran rumah . terima kasih .",Crime
yang terhormat . pemerintah dki jakarta mohon maaf saya linda . warga radio dalam . jalan . h. sajim . kelurahan gandaria utara kebayoran baru jakarta selatan . ingin menanyakan lagi kelanjutan daerah kami . sejak jalanannya di tinggikan . banjirnya semakin parah . karena gotnya belum dibetulkan . dan kalinya juga belum ada pembetulan . tiap hujan lebat daerah kami selalu kebanjiran . sekarang kami kebanjiran lagi . kami sudah capek dengan banjir terus-terusan . kami mohon perhatian dan tindak lanjutnya . terima ksih,Natural Disaster
"selamat malam bpk/ibu , saya ingin melaporkan adanya keributan yang saya yakini sebagai tindak kekerasan terhadap anak . setiap hari saya mendengar keributan dirumah tetangga di jl.kramat ii no 8 rt/rw 006/007 , kwitang , senen , jakarta pusat , dan cukup mengganggu . apakah bisa diberikan penyuluhan atau diberikan pembicaraan kepada mereka terutama orangtua agar tidak ada keributan tersebut ? terima kasih .",Crime
"selamat sore pak , tolong cari solusi soal keterlambatan bus transjakarta jurusan monas/harmoni - ragunan dan sebaliknya , karena kami menunggu sangat lama , ada pula bus yang kosong bahkan jalan saja , padahal penumpang sudah banyak yang mengantri . jadi terlambat tiba di kantor dan kemalaman tiba di rumah . adapula penumpang yang main dorong-dorongan , sampai ada yang kecopetan . tolong petugasnya diperketat , dan kalau bisa ada petugas bagian pemberitahuan untuk kedatangan bus pada setiap jurusan . terima kasih .",Crime
"kepada yang terhormat . pemerintah provinsi dki jakarta , saya lapor bahwa di sama negeri 70 jakarta masih banyak tindakan bullying/penyiksaan terhadap murid-murid yang baru ( kelas 10 ) . mohon untuk segera dilakukan peninjauan dan segera ditindaklanjuti , terima kasih .",Crime
kepada siaran antv sering banyak siaran ekaploitasi kekerasan atau pelanggaran privasi acara tobat dan maupun sejenisnya . mohon pantau terus antv .,Crime
saya diintimidasi dari perusahaan pemberi pinjaman uang online easycash dan melakukan pemaksaan secara kekerasan,Crime
di p3mkotasmg melaporkan kondisi ling . tidak ada hujan dan angin terjadi banjir . disebabkan adanya aliran sungai yang masuk saluran rumah tangga . mohon dapat ditertibkan . lokasi di rw ii pedurungan kidul . siapa adi 085876261212,Natural Disaster
"ruas jalan utama kota yogyakarta yang selama ini sudah macet bahkan dibuat lumpuh oleh para peserta kampanye di masa kampanye kemarin . tolong polisi lalu lintas melakukan tindakan bagi kampanye yang mengganggu ketertiban ini , terlebih sebagian dari peserta kampanye bertindak anarkistis dan suka melakukan kekerasan terhadap pengguna jalan lain . jangan hanya ditonton dan dibiarkan .",Crime
"nama : salma devamela putri usia 17 tahun menjadi korban pertunjukan kekerasan orang tua terhadap anak tinggal di dusun andongsari , kecamatan ambulu , jember saat ini sedang sekolah di muhammadiah satu andongsari , ambulu 68172",Crime
`laporhendi` pak warung saya kebakaran pada hari rabu jam 4.30 jalan indraprasta depan soto ayam pak sunaryo . mohon bantuan perbaikan untuk warung pak . atas perhatiannya saya ucapkan terima kasih.dari pak sunoto,Fire
"yang terhormat . kepolisian ri , saya ingin melaporkan tindak kriminal pencopetan di jembatan penyeberangan orang halte gbk karena susah menghubungi polisi ( call center 112 tidak bisa dihubungi ) . ada komplotan pencopet yang sering beraksi di sana . modusnya selalu sama , yaitu mengelilingi targetnya oleh beberapa orang dan tiba-tiba menjambret . kemudian , lari menggunakan kopaja . pada tanggal 6 september 2014 , saya melihat lagi komplotan ini hampir beraksi . sayang waktu saya mau rekam aksinya tiba-tiba mereka lari . saya pernah hampir jadi korban dan sepertinya jika tidak tertangkap ini bisa beraksi terus . mohon ditindaklanjuti . terima kasih .",Crime
"di jl.kliningan 10c. , buah batu. , bandung ada kabel terlepas akibat terkena pohon tumbang sebulan yang lalu ... sudah menghubungi telekomunikasi , pln tidak ada yang bisa membantu saya harus melapor ke pada siapa ? kabel menghalangi pintu masuk dan jalan ...",Natural Disaster
"kepada yang terhormat , pimpinan dinas pertamanan kota medan . selamat sore . saya mau melaporkan bahwa ada pohon besar di pinggir jalan yang tumbang hingga mengakibatkan akar dan gundukan tanahnya terangkat dan menghambat aliran drainase/ parit . lokasinya di jalan abadi kelurahan tanjung rejo - medan sunggal . tkp dekat kompleks perumahan buckingham . terima kasih atas atensi bapak/ibu ybs .",Natural Disaster
"yang terhormat . kepolisian ri , menjelang hari raya mohon adakan pengamanan preman & copet di angkot dan metro mini , terutama untuk daerah semper-priok yang rawan tindak kriminalitas bahkan sudah menggunakan benda tajam . terima kasih .",Crime
"saya warga desa ketimang , kecamatan wonoayu , sidoarjo 61261. saya mendapatkan ketidakadilan dari pemerintah desa atas tidak terselesaikannya permasalahan tentang batas tanah milik pribadi saya . saya kesulitan mau mengurus sertifikat hak milik karena tetangga menghalangi bpn mengukur ulang dan desa tidak bisa menjembatani . kepala desanya ga pernah becus . tolong saya dibantu . harusnya masalah ini selesai hanya dengan membuka data desa ( kretek ) supaya bisa tahu batas2 tanah yang ada . tapi tetangga bahkan memberikan perlakuan yang sungguh tidak menyenangkan , melalui kelerasan verbal dan kekerasan fisik . sebenarnya saya juga mau minta pemerintah desa ketimang diaudit .",Crime
"laporhendi_pak wali ytk . setiap turun hujan di sepanjang jalan . tentara pelajar , dari lokasi warung sate martawi sampai bangjo jalan . tentara pelajar , selalu terjadi banjir yang menggenangi bahu jalan . besarnya genangan air tersebut mengganggu kelancaran arus lalu lintas di jalan . tentara pelajar . tolong diselidiki penyebabnya dan tuntaskan permasalahanbanjir genangan air tersebut . terima kasih & gbu .",Natural Disaster
"terdapat sekitar 40 batang pohon penghijauan , baik akasia ataupun jenis lainnya yang dalam kondisi rawan tumbang karena sebagian besar pohon pada bagian bawahnya ada yang dijadikan media pembakaran sampah ataupun di kupas keliling seluruh bagian kulit luar s.d bagian agak dalam batang utama pohon , sehingga pohon rawan mati/kering.lokasi pohon tersebut berada di depan sdn 09 metro timur s.d pintu air dan jembatan perbatasan kelurahan rejomulyo kecamatan metro timur.beberapa batang pohon ada yang sudah dalam kondisi sudah mati/kering tanpa daun dan rawan tumbang.lokasi pohon yang dalam kondisi rusak tersebut umumnya berdekatan dengan tanaman buah yang ditanam masyarakat pada tanggal 27 november 2017 bersama bapak walikota dan wakil walikota metro pada saat peresmian kampung kidul sebagai calon destinasi wisata kampung buah.untuk mengantisipasi adanya musibah pohon tumbang dan dikhawatirkan dapat menimbulkan korban jiwa dari pengguna jalan ataupun warga yang tinggal disekitaran lokasi tersebut , mohon agar dapat ditindaklanjuti oleh opd terkait yang berwenang menangani pohon penghijauan , sehingga nantinya dapat dilakukan tindakan penebangan ataupun pemangkasan dan rehabilitasi tanaman penghijauan , terima kasih .",Natural Disaster
"kepada yth.bapak kepala pelaksana bpbd kota mataram.assalamualaikum.mohon ijin melaporkan , bahwa hari ini minggu , 15 november 2020. telah terjadi kejadian bencana alam . hujan lebat yang disertai angin kencang yang terjadi siang tadi memicu tumbangnya pohon lindung di beberapa titik di kota mataram.lokasi : - jalan . sriwijaya : 12- panaraga : 1- jalan . bung karno : 5- tohpati : 2- pagesangan :1- btn pagutan permai : 9- pagutan : 3- jalan . lingkar : 8- jalan . majapahit : 1- karang pule : 1waktu kejadian : pukul 13.14 wita",Natural Disaster
"kepada yang terhormat , pemerintah provinsi dki jakarta . saya ingin melaporkan , bahwa banyak sekali copet berkeliaran di bus 43 jurusan cililitan - tanjung priok , perilaku mereka sangat meresahkan penumpang , saya diancam akan dibunuh . mohon ditindak lanjuti , terima kasih",Crime
saya mau menanyakan kapan janji pak wakil bupati batola di jalankan dan bisa di terima masyarakat korban bencana alam .,Natural Disaster
terjadi kebakaran hutan di daerah gambut kalimantan selatan .,Fire
"palangkaraya terbakar , kami sudah tidak mendapatkan hak asasi untuk bernafas dengan bebas dan layak , karena sesegera mungkin dari kebakaran lahan yang masif akibat ulah manusia , kasihan balita dan anak2 terancam menderita kanker akibat sesegera mungkin beracun yang sudah mendera lebih dari 1 bulan , mohon ambil tindakan yang tegas dan masif juga , jangan biarkan kami mati perlahan , evakuasi , gencarkan tni polri untuk memadamkan api , sebelum semuanya terlambat seperti tahun 2015 yang mengerikan itu , kalau tidak bisa menyelesaikan dengan sumber daya negeri ini , setidaknya bapak presiden berkunjung ke palangkaraya , temani kami , jangan hanya datang saat euforia kampanye , tapi datang lah juga disaat susah",Fire
"pada tanggal 9 april 2013 , di stasiun kalideres terjadi aksi advokasi mahasiswa dari bem ( badan eksekutif mahasiswa ) se-indonesia yang membela pedagang di stasiun tersebut karena digusur tidak sesuai dengan protap dan melanggar hukum . namun karena kondisi memanas , kondisi menjadi ricuh sehingga beberapa warga dan harus dilarikan ke rumah sakit . apakah benar bahwa kejadian ini disebabkan oleh oknum polisi yang melakukan aksi koersi atau kekerasan ? jika benar , bagaimana pertanggungjawaban dari oknum-oknum yang menyebabkan terlukanya beberapa orang ini ?",Crime
"lapor hendy pak wali , 3 des 18 , hujan cuma 2 jam smg banjir selutut dimana2 , banyak pohon tumbang , motor mogok . mohon diperhatikan pak . terima kasih",Natural Disaster
"kepada dinas lh kabupaten . ponorogo selamat malam , melaporkan adanya pohon tumbang di jalan basuki rahmat ponorogo , terima kasih",Natural Disaster
bulungan terjadi kekerasan dalam rumah tangga di kecamatan . tanjung selor,Crime
"lapor hendy pengaduanselamat malam bapak gubernur , bapak wali kota yang terhormat..menginfokan ditempat yang sama di jalan prof hamka..tanjakan ngaliyan sampai silayur..hari ini kecelakaan yang diakibatkan trek muatan berat menelan banyak korban jiwa..tolonglah..tolong..ambil kebijakan..ini sudah yang ke sekian puluh kalinya..ratusan nyawa sudah terkorban..akankah bapak diam saja..",Traffic Accident
"ada pohon tumbabg di jl.cilaki no.9 bandung ( gasibu bawah ) kena label listrik dan lampu , mohon segera di tanggulangi , terima kasih",Natural Disaster
"saya wanita , 43 tahun , saya diancam2 , mau dibunuh oleh adik saya , laki laki usia 40 tahun ... . saya sendirian , tidak ada yang bantu saya di sini ... . saya mengalami tindak kekerasan ini sudah lama ... .. saya diancam , mau dibunuh , dipukul dsb di rumah saya sendiri ... saya sdh pernah mengadu ke komnas ham , sdh lama pengaduan saya ... . terima kasih ... almt rumah graha sunter pratama blok o no 11 jakarta utara",Crime
"saya ingin melaporkan , tolong sidak ke museum taman prasasti di jalan tanah abang 1 , jakarta pusat , memalukan sekali untuk turis asing karena penuh sampah , kotor , coretan , kumuh. , pohon tumbang dan lain lain . adakah tindak lanjut dari pemerintah provinsi dki jakarta mengenai hal ini ?",Natural Disaster
"pohon tumbang di depan kantor inspektorat provinsi . kalbar . lokasi : jalan . sultan syahrir no . 3 , pontianak . tolong prioritas . ( dinas lingkungan hidup kota pontianak ) . foto terlampir .",Natural Disaster
mohon tindak lanjuti kebakaran hutan yang sering terjadi di kota banjarbaru,Fire
